dataset,method,tau,k,width_scale,seed,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,proxy_gap_vs_quota_u_mean
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.0,2026,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09726594863297432,0.02233399056163621,1.4160190484485748,10.504766275552846,0.035926301319340936
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,2026,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09726594863297432,0.02233399056163621,1.4160190484485748,10.504766275552846,0.035926301319340936
ML-1M,AdaptivePenalty,0.9,10,1.0,2026,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.038369776892485774
ML-1M,QuotaGate-U,0.9,10,1.0,2027,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09726594863297432,0.09962929959522365,1.4950631899967506,10.540665545301588,0.0
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.0,2027,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022046407685362816,1.415769589370751,10.504735828295363,0.03592971700622449
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,2027,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022046407685362816,1.415769589370751,10.504735828295363,0.03592971700622449
ML-1M,AdaptivePenalty,0.9,10,1.0,2027,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.038342745321886085
ML-1M,QuotaGate-U,0.9,10,1.2,2025,0.9012427506213753,0.07191383595691798,0.07191383595691798,0.03481424109964747,0.09660314830157415,0.09639121848883073,1.4184739150964927,10.518745057170017,0.0
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.2,2025,0.9991714995857498,0.07207953603976802,0.07207953603976802,0.0350471458933797,0.0008285004142502071,0.0005938768979430496,1.2991210176602512,10.453451704880178,0.06529335228983868
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,2025,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022008943178481875,1.4157345169903626,10.504679592957453,0.014065464212563938
ML-1M,AdaptivePenalty,0.9,10,1.2,2025,0.899917149958575,0.07174813587406793,0.07174813587406793,0.035279866831382116,0.09809444904722453,0.04584949156027149,1.2799636663253287,10.501579492706451,0.017165564463565985
ML-1M,QuotaGate-U,0.9,10,1.2,2026,0.9009113504556753,0.07191383595691798,0.07191383595691798,0.03481424109964747,0.09693454846727423,0.09651276506267506,1.4187066399752353,10.51886367497606,0.0
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.2,2026,0.9991714995857498,0.07207953603976802,0.07207953603976802,0.0350471458933797,0.0008285004142502071,0.00046637921463682725,1.2990679630079147,10.453466489281453,0.06539718569460717
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,2026,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09726594863297432,0.02233399056163621,1.4160190484485748,10.504766275552846,0.014097399423214085
ML-1M,AdaptivePenalty,0.9,10,1.2,2026,0.899917149958575,0.07174813587406793,0.07174813587406793,0.035279866831382116,0.09809444904722453,0.04584949156027149,1.2799636663253287,10.501579492706451,0.01728418226960926
ML-1M,QuotaGate-U,0.9,10,1.2,2027,0.9010770505385253,0.07191383595691798,0.07191383595691798,0.03481424109964747,0.09676884838442419,0.09623356195748496,1.4182958773361225,10.518719307489404,0.0
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.2,2027,0.9991714995857498,0.07207953603976802,0.07207953603976802,0.0350471458933797,0.0008285004142502071,0.000352515083951405,1.2988326764627736,10.453374853742547,0.0653444537468566
ML-1M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,2027,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022046407685362816,1.415769589370751,10.504735828295363,0.013983479194040527
ML-1M,AdaptivePenalty,0.9,10,1.2,2027,0.899917149958575,0.07174813587406793,0.07174813587406793,0.035279866831382116,0.09809444904722453,0.04584949156027149,1.2799636663253287,10.501579492706451,0.017139814782952456
ML-1M,QuotaGate-U,0.95,10,0.8,2025,0.8,0.07075393537696768,0.07075393537696768,0.03437760810778204,0.1948632974316487,0.11242838737089575,1.521527429759601,10.544704612109319,0.0
ML-1M,QuotaGate-RDU-EWBE,0.95,10,0.8,2025,0.8004971002485501,0.07091963545981773,0.07091963545981773,0.034462414908744535,0.19420049710024856,0.0825254725066709,1.4912021369100013,10.533955402816735,0.010749209292583828
ML-1M,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,2025,0.9501242750621375,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04855012427506214,0.005701988484114783,1.3925812896646639,10.500092814160263,0.0446117979490559
ML-1M,AdaptivePenalty,0.95,10,0.8,2025,0.9497928748964375,0.07141673570836786,0.07141673570836786,0.035448485251739194,0.04971002485501243,0.02035093793418651,1.149570053612139,10.444358397991872,0.10034621411744737
ML-1M,QuotaGate-U,0.95,10,0.8,2026,0.8,0.07075393537696768,0.07075393537696768,0.03437760810778204,0.1948632974316487,0.11202066694890161,1.521119709337607,10.544492977003273,0.0
ML-1M,QuotaGate-RDU-EWBE,0.95,10,0.8,2026,0.8004971002485501,0.07091963545981773,0.07091963545981773,0.034462414908744535,0.19420049710024856,0.08206720671381158,1.490743871117142,10.533765010549297,0.010727966453975668
ML-1M,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,2026,0.9501242750621375,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04871582435791218,0.005500002294507224,1.3923023445493146,10.499993309820598,0.044499667182675395
ML-1M,AdaptivePenalty,0.95,10,0.8,2026,0.9497928748964375,0.07141673570836786,0.07141673570836786,0.035448485251739194,0.04971002485501243,0.02035093793418651,1.149570053612139,10.444358397991872,0.10013457901140121
ML-1M,QuotaGate-U,0.95,10,0.8,2027,0.8,0.07075393537696768,0.07075393537696768,0.03437760810778204,0.1948632974316487,0.11211668026378163,1.521215722652487,10.544547681721559,0.0
ML-1M,QuotaGate-RDU-EWBE,0.95,10,0.8,2027,0.8004971002485501,0.07091963545981773,0.07091963545981773,0.034462414908744535,0.19420049710024856,0.0821632200286916,1.4908398844320219,10.533819715267583,0.010727966453975668
ML-1M,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,2027,0.9501242750621375,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04855012427506214,0.0055218790302418875,1.3922538686991233,10.499961032488175,0.04458664923338418
ML-1M,AdaptivePenalty,0.95,10,0.8,2027,0.9497928748964375,0.07141673570836786,0.07141673570836786,0.035448485251739194,0.04971002485501243,0.02035093793418651,1.149570053612139,10.444358397991872,0.10018928372968716
ML-1M,QuotaGate-U,0.95,10,1.0,2025,0.9501242750621375,0.07191383595691798,0.07191383595691798,0.034845135599252765,0.04855012427506214,0.06498359319091139,1.4522422826860497,10.529994052485582,0.0
ML-1M,QuotaGate-RDU-EWBE,0.95,10,1.0,2025,0.9501242750621375,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04855012427506214,0.005701988484114783,1.3925812896646639,10.500092814160263,0.029901238325319213
ML-1M,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,2025,0.9501242750621375,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04855012427506214,0.005701988484114783,1.3925812896646639,10.500092814160263,0.029901238325319213
ML-1M,AdaptivePenalty,0.95,10,1.0,2025,0.9499585749792875,0.07091963545981773,0.07091963545981773,0.03535432149123963,0.04954432477216238,0.019085115173580046,1.1412646014394598,10.43924748405703,0.09074656842855156
ML-1M,QuotaGate-U,0.95,10,1.0,2026,0.9501242750621375,0.07191383595691798,0.07191383595691798,0.034845135599252765,0.04871582435791218,0.06517185365254956,1.4524247391505882,10.530039577120675,0.0
ML-1M,QuotaGate-RDU-EWBE,0.95,10,1.0,2026,0.9501242750621375,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04871582435791218,0.005500002294507224,1.3923023445493146,10.499993309820598,0.030046267300077645
ML-1M,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,2026,0.9501242750621375,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04871582435791218,0.005500002294507224,1.3923023445493146,10.499993309820598,0.030046267300077645
ML-1M,AdaptivePenalty,0.95,10,1.0,2026,0.9499585749792875,0.07091963545981773,0.07091963545981773,0.03535432149123963,0.04954432477216238,0.019085115173580046,1.1412646014394598,10.43924748405703,0.09079209306364433
ML-1M,QuotaGate-U,0.95,10,1.0,2027,0.9501242750621375,0.07191383595691798,0.07191383595691798,0.034845135599252765,0.04855012427506214,0.06492571535244794,1.452102584450474,10.52989733426553,0.0
ML-1M,QuotaGate-RDU-EWBE,0.95,10,1.0,2027,0.9501242750621375,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04855012427506214,0.0055218790302418875,1.3922538686991233,10.499961032488175,0.029936301777356178
ML-1M,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,2027,0.9501242750621375,0.07125103562551781,0.07125103562551781,0.03468706084296869,0.04855012427506214,0.0055218790302418875,1.3922538686991233,10.499961032488175,0.029936301777356178
