dataset,tau,width_scale,exact_inverse_cal_scale,effective_width_product,comparison,metric,delta_mean,ci_low,ci_high,significant,nominal_mean,calibrated_mean
Amazon-VideoGames,0.95,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.028340977715073434,0.028340977715073434
Amazon-VideoGames,0.95,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,5.932068961660067,5.932068961660067
Amazon-VideoGames,0.95,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.95,0.95
Amazon-VideoGames,0.95,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.005560119803746541,0.005560119803746541
Amazon-VideoGames,0.95,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.028340977715073434,0.028340977715073434
Amazon-VideoGames,0.95,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,5.932068961660067,5.932068961660067
ML-1M,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9000828500414251,0.9000828500414251
ML-1M,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.022129780475160305,0.022129780475160305
ML-1M,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.034534603431927935,0.034534603431927935
ML-1M,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,10.504727232268554,10.504727232268554
ML-1M,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9000828500414251,0.9000828500414251
ML-1M,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.022129780475160305,0.022129780475160305
ML-1M,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.034534603431927935,0.034534603431927935
ML-1M,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,10.504727232268554,10.504727232268554
ML-1M,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9000828500414251,0.9000828500414251
ML-1M,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.022129780475160305,0.022129780475160305
ML-1M,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.034534603431927935,0.034534603431927935
ML-1M,0.9,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,10.504727232268554,10.504727232268554
ML-1M,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9501242750621375,0.9501242750621375
ML-1M,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.005574623269621299,0.005574623269621299
ML-1M,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.03468706084296868,0.03468706084296868
ML-1M,0.95,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,10.500015718823011,10.500015718823011
ML-1M,0.95,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9501242750621375,0.9501242750621375
ML-1M,0.95,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.005574623269621299,0.005574623269621299
ML-1M,0.95,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.03468706084296868,0.03468706084296868
ML-1M,0.95,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,10.500015718823011,10.500015718823011
ML-1M,0.95,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9501242750621375,0.9501242750621375
ML-1M,0.95,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.005574623269621299,0.005574623269621299
ML-1M,0.95,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.03468706084296868,0.03468706084296868
ML-1M,0.95,1.2,0.8333333333333334,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,10.500015718823011,10.500015718823011
ML-20M,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9002,0.9002
ML-20M,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,weighted_bad_exposure,0.0,0.0,0.0,False,0.008304032257397957,0.008304032257397957
ML-20M,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,ndcg,0.0,0.0,0.0,False,0.04019989002691565,0.04019989002691565
ML-20M,0.9,0.8,1.25,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,proxy_utility,0.0,0.0,0.0,False,9.789031859842936,9.789031859842936
ML-20M,0.9,1.0,1.0,1.0,QuotaGate-RDU-EWBE-Cal vs Nominal,compliant,0.0,0.0,0.0,False,0.9002,0.9002
