dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,proxy_gap_vs_quota_u_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,proxy_gap_vs_quota_u_mean_std
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.02703611589272817,0.7956200135658186,5.946053688677151,0.0651009156068169,0.0,0.0,0.0,0.0,0.0,0.00038554158755600075,0.00040127867690188717,0.0003393261489512024,0.0002877805309250257
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,0.9499999999999998,0.057,0.057,0.028340977715073438,0.04800000000000001,0.005560119803746541,0.7689726708640655,5.932068961660067,0.10454192523956311,0.0,0.0,0.0,0.0,0.0,0.0003613396028570551,0.00032446428120124214,0.00027779159320343906,0.0002266656853970736
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,0.9499999999999998,0.057,0.057,0.028340977715073438,0.04800000000000001,0.005560119803746541,0.7689726708640655,5.932068961660067,0.07796515021324169,0.0,0.0,0.0,0.0,0.0,0.0003613396028570551,0.00032446428120124214,0.00027779159320343906,0.00043091152872569774
Amazon-VideoGames,QuotaGate-RDU-EWBE-Cal,0.95,10,1.2,0.9499999999999998,0.057,0.057,0.028340977715073438,0.04800000000000001,0.005560119803746541,0.7689726708640655,5.932068961660067,0.03756882775624574,0.0,0.0,0.0,0.0,0.0,0.0003613396028570551,0.00032446428120124214,0.00027779159320343906,0.0005790522648976014
Amazon-VideoGames,QuotaGate-U,0.9,10,0.8,0.8004000000000001,0.056600000000000004,0.056600000000000004,0.028067426055643403,0.1958,0.15814019712607066,0.9361047729800145,6.046258260893822,0.0,0.0,0.0,0.0,0.0,0.0,0.000341326073922734,0.0003413260739227566,0.0003424155976508146,0.0
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,0.9006,0.056600000000000004,0.056600000000000004,0.02806846758775079,0.09833333333333333,0.13614514723618823,0.9052329827815294,6.034104658468564,0.0,0.0,0.0,0.0,1.3065112440234247e-05,0.00011547005383792945,0.0003884416381512864,0.0004090896072543172,0.0002995592148961991,0.0
Amazon-VideoGames,QuotaGate-U,0.9,10,1.2,0.9024,0.057,0.057,0.028364864871304362,0.0964,0.13385926751295726,0.8660952499101559,6.011154604283969,0.0,0.00019999999999997797,0.0,0.0,0.0,0.00020000000000000573,0.0003711140359242822,0.00037026472687238854,0.0005313306914579814,0.0
Amazon-VideoGames,QuotaGate-U,0.95,10,0.8,0.802,0.056600000000000004,0.056600000000000004,0.028126532441986592,0.1942,0.131265549882253,0.9090678047408659,6.036610886899631,0.0,0.0,0.0,0.0,0.0,0.0,0.00020100011291082214,0.0002010001129108288,7.017004636522655e-05,0.0
Amazon-VideoGames,QuotaGate-U,0.95,10,1.0,0.9499999999999998,0.057,0.057,0.028384345407250166,0.04979999999999999,0.09711348249117534,0.8607766458580892,6.010034111873309,0.0,0.0,0.0,0.0,0.0,0.0,0.0003434147104964151,0.000383666444903865,0.0002210691048475037,0.0
Amazon-VideoGames,QuotaGate-U,0.95,10,1.2,0.9503333333333334,0.0572,0.0572,0.02848606315355927,0.04906666666666667,0.09457005483309427,0.8107226563483477,5.969637789416313,0.0,0.00011547005383791243,0.0,0.0,0.0,0.00011547005383792345,0.0005726966810281094,0.0005847691428808738,0.0005518788513147042,0.0
ML-1M,AdaptivePenalty,0.9,10,0.8,0.899420049710025,0.07174813587406793,0.07174813587406793,0.03530149217298813,0.09875724937862469,0.04632660204453615,1.2825092289957905,10.502922678191304,0.043026504237426266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22132953957428e-05
ML-1M,AdaptivePenalty,0.9,10,1.0,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.03833388644863511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10433001605426e-05
ML-1M,AdaptivePenalty,0.9,10,1.2,0.8999171499585751,0.07174813587406793,0.07174813587406793,0.035279866831382116,0.09809444904722453,0.04584949156027149,1.2799636663253287,10.501579492706451,0.0171965205053759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.700129995203702e-05
ML-1M,AdaptivePenalty,0.95,10,0.8,0.9497928748964375,0.07141673570836786,0.07141673570836786,0.035448485251739194,0.049710024855012434,0.02035093793418651,1.149570053612139,10.444358397991872,0.10022335895284525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010985533738852807
ML-1M,AdaptivePenalty,0.95,10,1.0,0.9499585749792875,0.07091963545981773,0.07091963545981773,0.03535432149123963,0.04954432477216238,0.019085115173580046,1.1412646014394598,10.43924748405703,0.09072950390023198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.264059508965021e-05
ML-1M,AdaptivePenalty,0.95,10,1.2,0.9497928748964375,0.07125103562551781,0.07125103562551781,0.035485362118925695,0.04987572493786247,0.01970136220532207,1.1436291286062878,10.440083903128585,0.05531249979983658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001298141630249044
ML-1M,QuotaGate-RDU-EWBE,0.9,10,0.8,0.8000000000000002,0.07058823529411765,0.07058823529411765,0.034296528071027114,0.19502899751449876,0.12666860235688834,1.5361565632295522,10.54594918242873,0.0,0.0,0.0,0.0,0.0,0.0,0.00015317163502304328,0.0001531716350229912,2.221329539523001e-05,0.0
