dataset,method,tau,k,width_scale,ms_per_user,sec_total,ms_per_user_std,sec_total_std
ML-20M,AdaptivePenalty,0.9,10,1.0,0.183787649559478,0.9189382477973899,0.0014563044958542904,0.007281522479271522
ML-20M,AdaptivePenalty,0.9,10,1.2,0.1811178638599813,0.9055893192999065,0.001315912032318253,0.006579560161591235
ML-20M,AdaptivePenalty,0.95,10,0.8,0.18523684864242873,0.9261842432121435,0.0004139362783546516,0.002069681391773359
ML-20M,AdaptivePenalty,0.95,10,1.0,0.18424659318601092,0.9212329659300545,0.0011271562442894717,0.005635781221447297
ML-20M,AdaptivePenalty,0.95,10,1.2,0.18885083450004458,0.9442541725002229,0.0061612889031641286,0.03080644451582064
ML-20M,QuotaGate-RDU-EWBE,0.9,10,0.8,0.34324323240046706,1.716216162002335,0.0005313266457809364,0.0026566332289046373
ML-20M,QuotaGate-RDU-EWBE,0.9,10,1.0,0.6713700822864969,3.3568504114324846,0.0042013020338246805,0.02100651016912345
ML-20M,QuotaGate-RDU-EWBE,0.9,10,1.2,1.0450824552215636,5.225412276107818,0.005905717808866543,0.029528589044332282
ML-20M,QuotaGate-RDU-EWBE,0.95,10,0.8,0.34344210553293425,1.7172105276646714,0.0028438873334258093,0.014219436667129121
ML-20M,QuotaGate-RDU-EWBE,0.95,10,1.0,0.6738972592167557,3.369486296083778,0.008584513228392956,0.04292256614196458
ML-20M,QuotaGate-RDU-EWBE,0.95,10,1.2,1.0863874847069381,5.431937423534691,0.0360010536574508,0.18000526828725386
ML-20M,QuotaGate-RDU-EWBE-Cal,0.9,10,0.8,0.6676429634292921,3.33821481714646,0.0007870399257075984,0.0039351996285383
ML-20M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.0,0.670714799935619,3.3535739996780953,0.0020860898520212185,0.01043044926010605
ML-20M,QuotaGate-RDU-EWBE-Cal,0.9,10,1.2,0.6717079784100255,3.358539892050127,0.004278299928792706,0.021391499643963603
ML-20M,QuotaGate-RDU-EWBE-Cal,0.95,10,0.8,0.6668004083757598,3.3340020418787994,0.005364192778316905,0.026820963891584667
ML-20M,QuotaGate-RDU-EWBE-Cal,0.95,10,1.0,0.6640577965416015,3.320288982708007,0.0013118972613496848,0.006559486306748424
ML-20M,QuotaGate-RDU-EWBE-Cal,0.95,10,1.2,0.6900505287572741,3.4502526437863708,0.025898258624356414,0.12949129312178226
ML-20M,QuotaGate-U,0.9,10,0.8,0.3256378628623982,1.6281893143119912,0.00362083072971937,0.018104153648596896
ML-20M,QuotaGate-U,0.9,10,1.0,0.6286805368339022,3.143402684169511,0.0013659973383738084,0.006829986691869011
ML-20M,QuotaGate-U,0.9,10,1.2,0.9771399133217832,4.885699566608916,0.004707212672156998,0.023536063360785207
ML-20M,QuotaGate-U,0.95,10,0.8,0.32534015094861385,1.6267007547430694,0.0014177797150914152,0.0070888985754570585
ML-20M,QuotaGate-U,0.95,10,1.0,0.6318512723781168,3.1592563618905842,0.009157020717307321,0.045785103586537035
ML-20M,QuotaGate-U,0.95,10,1.2,1.01427476114283,5.07137380571415,0.02755054000942688,0.13775270004713466
