dataset,challenger,scope,comparator,metric,delta_mean,ci_low,ci_high
ML-1M,OC-Quota,overall,Primal-Dual,risk_weighted_miss,-0.07831207329118756,-0.08861777594243582,-0.0668275613466767
ML-1M,OC-Quota,overall,Primal-Dual,compliant,0.00033140016570008286,-0.01044324772162386,0.0106089478044739
ML-1M,OC-Quota,overall,Primal-Dual,hit,-0.0004971002485501243,-0.0016570008285004142,0.0006628003314001657
ML-1M,OC-Quota,overall,Primal-Dual,ndcg,-5.097807056023512e-05,-0.0004897065353259016,0.0004243528933771134
ML-1M,OC-Quota,highrisk,Primal-Dual,bad_exposure,-0.004971002485501243,-0.053956089478044734,0.04973073736536866
ML-1M,OC-Quota,highrisk,Primal-Dual,weighted_bad_exposure,-0.38263319409772595,-0.42685996765722994,-0.3428791798928995
ML-1M,OC-Quota,highrisk,Primal-Dual,risk_weighted_miss,-0.3915603664559378,-0.4418401299252822,-0.3397680596220859
ML-1M,OC-Quota,highrisk,Primal-Dual,compliant,0.0016570008285004142,-0.050538525269262634,0.05302402651201325
ML-1M,OC-Quota,highrisk,Primal-Dual,hit,-0.0024855012427506215,-0.008285004142502071,0.0024855012427506215
ML-1M,OC-Quota,highrisk,Primal-Dual,ndcg,-0.00025489035280117556,-0.0025896989690614818,0.0019047393684333998
ML-1M,OC-Quota,overall,QuotaGateV6,bad_exposure,-0.00033140016570008286,-0.01044324772162386,0.011433305716652858
ML-1M,OC-Quota,overall,QuotaGateV6,weighted_bad_exposure,-0.07688540621443829,-0.08491882572869376,-0.06694175581134049
ML-1M,OC-Quota,overall,QuotaGateV6,risk_weighted_miss,-0.07845123013683657,-0.08869339227380098,-0.06692971699822513
ML-1M,OC-Quota,overall,QuotaGateV6,compliant,0.0,-0.011106048053024026,0.010289975144987558
ML-1M,OC-Quota,overall,QuotaGateV6,hit,-0.0004971002485501243,-0.0016570008285004142,0.0006628003314001657
ML-1M,OC-Quota,overall,QuotaGateV6,ndcg,-5.6885447089415526e-05,-0.0004877611475717666,0.000422746425794958
ML-1M,OC-Quota,highrisk,QuotaGateV6,bad_exposure,-0.0016570008285004142,-0.0513877381938691,0.05140845070422531
ML-1M,OC-Quota,highrisk,QuotaGateV6,weighted_bad_exposure,-0.3844270310721915,-0.4276698656781409,-0.34473352711953303
ML-1M,OC-Quota,highrisk,QuotaGateV6,risk_weighted_miss,-0.39225615068418285,-0.4438566001442314,-0.34160840877739973
ML-1M,OC-Quota,highrisk,QuotaGateV6,compliant,0.0,-0.05468102734051367,0.04973073736536866
ML-1M,OC-Quota,highrisk,QuotaGateV6,hit,-0.0024855012427506215,-0.008285004142502071,0.0024855012427506215
ML-1M,OC-Quota,highrisk,QuotaGateV6,ndcg,-0.0002844272354470776,-0.002590437391127629,0.001858879127769424
ML-1M,Guarded-OC-Quota,overall,Penalty,bad_exposure,0.00033140016570008286,-0.004478044739022369,0.005472245236122614
ML-1M,Guarded-OC-Quota,overall,Penalty,weighted_bad_exposure,0.03776764031373082,0.03303847713024041,0.04190945919901256
ML-1M,Guarded-OC-Quota,overall,Penalty,risk_weighted_miss,0.20094389247568362,0.19430823817108422,0.207994063810477
ML-1M,Guarded-OC-Quota,overall,Penalty,compliant,0.0,-0.005472245236122618,0.00463960231980116
ML-1M,Guarded-OC-Quota,overall,Penalty,hit,-0.00033140016570008286,-0.0026553438276719138,0.0026553438276719103
ML-1M,Guarded-OC-Quota,overall,Penalty,ndcg,-0.0007818547520180904,-0.0016976390505139742,0.0003962066248314884
ML-1M,Guarded-OC-Quota,highrisk,Penalty,bad_exposure,0.0016570008285004142,-0.023218724109362054,0.02487572493786245
ML-1M,Guarded-OC-Quota,highrisk,Penalty,weighted_bad_exposure,0.1888382015686541,0.1692758929373908,0.20833602482658234
ML-1M,Guarded-OC-Quota,highrisk,Penalty,risk_weighted_miss,0.306250957140966,0.2841787081505014,0.33041793052554624
ML-1M,Guarded-OC-Quota,highrisk,Penalty,compliant,0.0,-0.024026512013256007,0.02487572493786245
ML-1M,Guarded-OC-Quota,highrisk,Penalty,hit,-0.0024855012427506215,-0.006628003314001657,0.0008285004142502071
ML-1M,Guarded-OC-Quota,highrisk,Penalty,ndcg,-0.0008679964078375341,-0.0023183055180388172,0.00039353939351339124
ML-1M,Guarded-OC-Quota,overall,Primal-Dual,bad_exposure,-0.0004971002485501243,-0.005633802816901409,0.0048053024026512015
ML-1M,Guarded-OC-Quota,overall,Primal-Dual,weighted_bad_exposure,-0.017981974792164422,-0.021684176678092595,-0.014066487554291015
ML-1M,Guarded-OC-Quota,overall,Primal-Dual,risk_weighted_miss,-0.016335702969599283,-0.0207014266789799,-0.011600397042528894
ML-1M,Guarded-OC-Quota,overall,Primal-Dual,compliant,0.00033140016570008286,-0.004971002485501243,0.005306545153272573
ML-1M,Guarded-OC-Quota,overall,Primal-Dual,hit,-0.00033140016570008286,-0.0009942004971002485,0.00033140016570008286
ML-1M,Guarded-OC-Quota,overall,Primal-Dual,ndcg,-3.922278070568353e-05,-0.0002416432861311416,0.00018029481753297394
ML-1M,Guarded-OC-Quota,highrisk,Primal-Dual,bad_exposure,-0.0024855012427506215,-0.027381938690969346,0.024047224523612243
ML-1M,Guarded-OC-Quota,highrisk,Primal-Dual,weighted_bad_exposure,-0.08990987396082212,-0.10932349938544343,-0.0694631514375429
ML-1M,Guarded-OC-Quota,highrisk,Primal-Dual,risk_weighted_miss,-0.08167851484799642,-0.10265499772666008,-0.05736770479266271
ML-1M,Guarded-OC-Quota,highrisk,Primal-Dual,compliant,0.0016570008285004142,-0.025704225352112673,0.027361226180613072
ML-1M,Guarded-OC-Quota,highrisk,Primal-Dual,hit,-0.0016570008285004142,-0.004971002485501243,0.0016570008285004142
ML-1M,Guarded-OC-Quota,highrisk,Primal-Dual,ndcg,-0.00019611390352841765,-0.0012704279812695142,0.0008284486374576102
ML-1M,Guarded-OC-Quota,overall,QuotaGateV6,bad_exposure,0.00016570008285004143,-0.004647887323943662,0.005472245236122614
ML-1M,Guarded-OC-Quota,overall,QuotaGateV6,weighted_bad_exposure,-0.018340742187057533,-0.022131069457916163,-0.014266940466707763
ML-1M,Guarded-OC-Quota,overall,QuotaGateV6,risk_weighted_miss,-0.0164748598152483,-0.02082746692007992,-0.011948173857466096
ML-1M,Guarded-OC-Quota,overall,QuotaGateV6,compliant,0.0,-0.00579950289975145,0.004809444904722448
ML-1M,Guarded-OC-Quota,overall,QuotaGateV6,hit,-0.00033140016570008286,-0.0009942004971002485,0.00033140016570008286
ML-1M,Guarded-OC-Quota,overall,QuotaGateV6,ndcg,-4.513015723486394e-05,-0.000251397801041749,0.00017499390661911666
ML-1M,Guarded-OC-Quota,highrisk,QuotaGateV6,bad_exposure,0.0008285004142502071,-0.025704225352112673,0.026512013256006627
ML-1M,Guarded-OC-Quota,highrisk,QuotaGateV6,weighted_bad_exposure,-0.09170371093528767,-0.11061816310724545,-0.0712218692012335
ML-1M,Guarded-OC-Quota,highrisk,QuotaGateV6,risk_weighted_miss,-0.08237429907624151,-0.10407580788360712,-0.05944675135039651
ML-1M,Guarded-OC-Quota,highrisk,QuotaGateV6,compliant,0.0,-0.026512013256006627,0.027340513670256836
ML-1M,Guarded-OC-Quota,highrisk,QuotaGateV6,hit,-0.0016570008285004142,-0.004971002485501243,0.0016570008285004142
ML-1M,Guarded-OC-Quota,highrisk,QuotaGateV6,ndcg,-0.0002256507861743197,-0.0013307651790713123,0.0008498252861508698
ML-20M,OC-Quota,overall,Penalty,bad_exposure,-0.001,-0.011604999999999999,0.0092
ML-20M,OC-Quota,overall,Penalty,weighted_bad_exposure,-0.010701102232933045,-0.012935464781463143,-0.007854434673905375
ML-20M,OC-Quota,overall,Penalty,risk_weighted_miss,0.037322671933472155,0.03367323878388852,0.04185374582517892
ML-20M,OC-Quota,overall,Penalty,compliant,0.0002,-0.009009999999999999,0.010604999999999996
ML-20M,OC-Quota,overall,Penalty,hit,-0.0012,-0.0036,0.0014
ML-20M,OC-Quota,overall,Penalty,ndcg,3.436131700411707e-05,-0.0011066161168266065,0.0010980538363981212
ML-20M,OC-Quota,highrisk,Penalty,bad_exposure,-0.005,-0.05204999999999999,0.041
ML-20M,OC-Quota,highrisk,Penalty,weighted_bad_exposure,-0.053505511164665225,-0.06570752732247112,-0.04220765929609538
ML-20M,OC-Quota,highrisk,Penalty,risk_weighted_miss,-0.021587103009223937,-0.03848493899703026,-0.004773038910329348
ML-20M,OC-Quota,highrisk,Penalty,compliant,0.001,-0.051,0.05104999999999995
ML-20M,OC-Quota,highrisk,Penalty,hit,0.0,-0.006,0.006
ML-20M,OC-Quota,highrisk,Penalty,ndcg,-0.0002375527033135942,-0.0025469321222461832,0.0019883972369442175
ML-20M,OC-Quota,overall,Primal-Dual,bad_exposure,-0.0016,-0.011405,0.0084
ML-20M,OC-Quota,overall,Primal-Dual,weighted_bad_exposure,-0.033319089183807375,-0.03770685422343016,-0.028519022275805474
ML-20M,OC-Quota,overall,Primal-Dual,risk_weighted_miss,-0.033988938856124876,-0.039042732397913935,-0.02814825599640608
ML-20M,OC-Quota,overall,Primal-Dual,compliant,0.0004,-0.009205,0.010249999999999955
ML-20M,OC-Quota,overall,Primal-Dual,hit,0.0,-0.0012049999999999997,0.0014
ML-20M,OC-Quota,overall,Primal-Dual,ndcg,2.2501067584059643e-05,-0.0005130457622689228,0.0006016894827963725
ML-20M,OC-Quota,highrisk,Primal-Dual,bad_exposure,-0.008,-0.057025,0.04
ML-20M,OC-Quota,highrisk,Primal-Dual,weighted_bad_exposure,-0.16659544591903688,-0.1873129339534044,-0.147374800388515
ML-20M,OC-Quota,highrisk,Primal-Dual,risk_weighted_miss,-0.1699446942806244,-0.19646890707165005,-0.14682006864100694
ML-20M,OC-Quota,highrisk,Primal-Dual,compliant,0.002,-0.049025,0.05602499999999998
ML-20M,OC-Quota,highrisk,Primal-Dual,hit,0.0,-0.007,0.008
ML-20M,OC-Quota,highrisk,Primal-Dual,ndcg,0.00011250533792029826,-0.0027877607864332044,0.0031783015380088967
ML-20M,OC-Quota,overall,QuotaGateV6,bad_exposure,-0.0008,-0.01081,0.008809999999999991
ML-20M,OC-Quota,overall,QuotaGateV6,weighted_bad_exposure,-0.03313069582462311,-0.03748963931518793,-0.028149585444152355
ML-20M,OC-Quota,overall,QuotaGateV6,risk_weighted_miss,-0.033758840548992156,-0.03904726468235254,-0.027958649861514567
