dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,ProxyUtilityLoss_vs_mu,ProxyUtilityGap_to_oracle,lam,tune,mandatory_infeasible,discretionary_used,V_left_end,warmup
ML-20M,20720,20720,0.9630447268486023,0.8,0.9,"PenaltyBisect (~τ), λ=0.493",0.0834,0.040081404742768674,0.0834,0.040081404742768674,0.9,0.6179762585505844,1.0996452093124391,9.796766154646873,1.0,0.021140297055245227,0.01795592491626863,0.49266815185546875,bisect,,,,
ML-20M,20720,20720,0.9630447268486023,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0824,0.040176189381109936,0.0824,0.040176189381109936,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,1.0,0.003184372138976599,0.0,,,0.0,499.0,,
ML-20M,20720,20720,0.9630447268486023,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0822,0.04011837641584636,0.0822,0.04011837641584636,0.9002,0.6930342493653298,1.310646891593933,9.814512286853791,1.0,0.003394164848327108,0.0002097927093505092,,,,,0.0,0.0
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,Baseline(mu-only),0.0566,0.028067426055643403,0.2064186725018235,0.10236114535245588,0.8,0.9828616354778409,2.6292479753494282,6.049316048502922,0.2742,0.0,-0.009296047449111278,,,,,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,ConstrainedGreedy,0.0568,0.028132206825531136,0.20714806710430342,0.10259739907195892,0.8554,0.9454177748516202,2.420987069606781,6.0216586748838425,0.2742,0.027657373619079273,0.018361326169967995,,,,,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,HardBisection (feasibility ceiling),0.057,0.028367180844936054,0.20787746170678337,0.10345434297934372,0.9998,0.793316739590466,1.4274769186973573,5.930513867020607,0.2742,0.11880218148231503,0.10950613403320375,,,,,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,"PenaltyGrid (>=τ), λ*=0.750",0.0568,0.02809824049001281,0.20714806710430342,0.10247352476299348,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.2742,0.0793751074075697,0.07007905995845842,0.75,grid,,,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,"PenaltyBisect (~τ), λ=0.721",0.0566,0.028091016541037378,0.2064186725018235,0.10244717921603712,0.9,0.7524600603461266,1.8290969014167786,5.974734331798554,0.2742,0.07458171670436808,0.0652856692552568,0.720977783203125,bisect,,,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0568,0.0281391037092923,0.20714806710430342,0.10262255182090554,0.9002,0.9468651927903294,2.616884291172028,6.0400200010538105,0.2742,0.009296047449111278,0.0,,,1.0,498.0,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0566,0.02807601073393515,0.2064186725018235,0.10239245344250603,0.9006,0.9400579539254308,2.5909743547439583,6.035571497511864,0.2742,0.013744550991058091,0.004448503541946813,,,,,2.0,0.0
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,Baseline(mu-only),0.0566,0.028067426055643403,0.14387391967463142,0.07134577034988154,0.8,0.9828616354778409,2.6292479753494282,6.049316048502922,0.3934,0.0,-0.009296047449111278,,,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,ConstrainedGreedy,0.0568,0.028132206825531136,0.1443823080833757,0.07151043931248383,0.8632,0.9383396291330457,2.3949477672576904,6.006908744597435,0.3934,0.042407303905486415,0.03311125645637514,,,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,HardBisection (feasibility ceiling),0.057,0.028367180844936054,0.14489069649211997,0.07210772965159139,1.0,0.7915975495412946,1.4269971966743469,5.928653861355782,0.3934,0.12066218714713983,0.11136613969802855,,,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,"PenaltyGrid (>=τ), λ*=0.750",0.0568,0.02809824049001281,0.1443823080833757,0.07142409885615865,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.3934,0.0793751074075697,0.07007905995845842,0.75,grid,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,"PenaltyBisect (~τ), λ=0.721",0.0566,0.028091016541037378,0.14387391967463142,0.0714057359965363,0.9,0.7524600603461266,1.8290969014167786,5.974734331798554,0.3934,0.07458171670436808,0.0652856692552568,0.720977783203125,bisect,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0568,0.0281391037092923,0.1443823080833757,0.07152797079128699,0.9002,0.9468651927903294,2.616884291172028,6.0400200010538105,0.3934,0.009296047449111278,0.0,,,0.0,499.0,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0566,0.02807601073393515,0.14387391967463142,0.07136759210456317,0.9006,0.9400579539254308,2.5909743547439583,6.035571497511864,0.3934,0.013744550991058091,0.004448503541946813,,,,,2.0,0.0
