dataset,comparator,metric,ocquota_minus_comp_seq_mean,ci_low,ci_high
ML-1M,QuotaGateV6,ndcg,-5.750197528837861e-05,-0.000538440116750923,0.000367154534091018
ML-20M,Penalty,compliance,0.00020000000000001129,-0.00960499999999999,0.010600000000000014
ML-20M,Penalty,reward_gap_to_oracle,0.007113285136222878,0.0041881635189055825,0.010475815178155984
ML-20M,Penalty,weighted_bad_exposure_mean,-0.010701102232933041,-0.01326334847998619,-0.00834464011102915
ML-20M,Penalty,bad_exposure_rate,-0.0010000000000000026,-0.011200000000000002,0.008799999999999997
ML-20M,Penalty,hit,-0.001200000000000001,-0.004000000000000001,0.0013999999999999991
ML-20M,Penalty,ndcg,3.436131700411776e-05,-0.0009929121188992998,0.0010516430120754339
ML-20M,Primal-Dual,compliance,0.00040000000000001146,-0.009009999999999992,0.010200000000000018
ML-20M,Primal-Dual,reward_gap_to_oracle,0.024919682216644395,0.021637222552299617,0.028927557301521443
ML-20M,Primal-Dual,weighted_bad_exposure_mean,-0.03331908918380737,-0.038531467675924296,-0.029204964015185835
ML-20M,Primal-Dual,bad_exposure_rate,-0.001600000000000001,-0.011200000000000002,0.008009999999999991
ML-20M,Primal-Dual,hit,0.0,-0.0013999999999999996,0.0013999999999999993
ML-20M,Primal-Dual,ndcg,2.2501067584059544e-05,-0.0004648440495345947,0.0004928301000617423
ML-20M,QuotaGateV6,compliance,8.881784197001253e-18,-0.010404999999999994,0.010814999999999993
ML-20M,QuotaGateV6,reward_gap_to_oracle,0.024859417343139647,0.02148968767166125,0.028870450859069866
ML-20M,QuotaGateV6,weighted_bad_exposure_mean,-0.03313069582462311,-0.03837037015974521,-0.029043960720837113
ML-20M,QuotaGateV6,bad_exposure_rate,-0.000800000000000001,-0.011800000000000001,0.009204999999999994
ML-20M,QuotaGateV6,hit,0.0,-0.0012000000000000003,0.0012
ML-20M,QuotaGateV6,ndcg,-2.6103560735691102e-06,-0.0005323512397182079,0.00048536970977145383
