dataset,t,method,mean_reward,compliance,viol_rate,mean_list_risk,p95_risk,B,tau,cand_n,lam_penalty,warmup,oracle_mean_reward,oracle_gap,V_left_end,elig_seen,infeasible,expected_reward,tuned_eta0,dual_lambda,mean_du,online_violation_rate
ML-20M,42,hard,0.996338665485382,1.0,0.0,4.48914098739624,5.464559078216553,5.470155239105225,0.9,1000.0,0.7023632526397705,,,,,,0.0,0.996338665485382,,,,
ML-20M,43,hard,0.9965613484382628,1.0,0.0,4.485848426818848,5.464525699615479,5.470155239105225,0.9,1000.0,0.7023632526397705,,,,,,0.0,0.9965613484382628,,,,
ML-20M,44,hard,0.9965676665306092,1.0,0.0,4.483633995056152,5.464525699615479,5.470155239105225,0.9,1000.0,0.7023632526397705,,,,,,0.0,0.9965676665306092,,,,
ML-20M,45,hard,0.9965344071388244,1.0,0.0,4.480993270874023,5.464323043823242,5.470155239105225,0.9,1000.0,0.7023632526397705,,,,,,0.0,0.9965344071388244,,,,
ML-20M,46,hard,0.996576488018036,1.0,0.0,4.478949069976807,5.4646077156066895,5.470155239105225,0.9,1000.0,0.7023632526397705,,,,,,0.0,0.996576488018036,,,,
ML-20M,47,hard,0.9965999722480774,1.0,0.0,4.477133750915527,5.465131759643555,5.470155239105225,0.9,1000.0,0.7023632526397705,,,,,,0.0,0.9965999722480774,,,,
ML-20M,48,hard,0.9965201616287231,1.0,0.0,4.476297855377197,5.465632915496826,5.470155239105225,0.9,1000.0,0.7023632526397705,,,,,,0.0,0.9965201616287231,,,,
ML-20M,49,hard,0.9964443445205688,1.0,0.0,4.4745073318481445,5.46455192565918,5.470155239105225,0.9,1000.0,0.7023632526397705,,,,,,0.0,0.9964443445205688,,,,
ML-20M,0,quota,0.990731418132782,0.901,0.099,4.904237270355225,5.630083084106445,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9906677007675172,-6.371736526489258e-05,0.0,200.0,,0.990731418132782,,,,
ML-20M,1,quota,0.9929099082946776,0.902,0.098,4.853511810302734,5.6344804763793945,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9929479956626892,3.808736801147461e-05,1.0,211.0,,0.9929099082946776,,,,
ML-20M,2,quota,0.9941162467002868,0.901,0.099,4.821752071380615,5.640323638916016,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9943355917930604,0.0002193450927734,0.0,220.0,,0.9941162467002868,,,,
ML-20M,3,quota,0.9949803352355956,0.902,0.098,4.793920040130615,5.636679649353027,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.995033085346222,5.27501106262207e-05,1.0,220.0,,0.9949803352355956,,,,
ML-20M,4,quota,0.995516002178192,0.902,0.098,4.775166034698486,5.630218505859375,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9955757260322572,5.9723854064941406e-05,1.0,222.0,,0.995516002178192,,,,
ML-20M,5,quota,0.9958131909370422,0.901,0.099,4.760531902313232,5.637730121612549,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9959523677825928,0.0001391768455505,0.0,232.0,,0.9958131909370422,,,,
ML-20M,6,quota,0.996104061603546,0.901,0.099,4.746382713317871,5.640814304351807,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9960583448410034,-4.571676254272461e-05,0.0,229.0,,0.996104061603546,,,,
ML-20M,7,quota,0.9962269067764282,0.902,0.098,4.73699426651001,5.652825832366943,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9962496161460876,2.2709369659423828e-05,1.0,226.0,,0.9962269067764282,,,,
ML-20M,8,quota,0.9963105916976928,0.903,0.097,4.728856563568115,5.64007043838501,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9963085055351256,-2.086162567138672e-06,2.0,229.0,,0.9963105916976928,,,,
ML-20M,9,quota,0.9963759779930116,0.902,0.098,4.721391677856445,5.658538818359375,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9964250326156616,4.905462265014648e-05,1.0,225.0,,0.9963759779930116,,,,
ML-20M,10,quota,0.9963956475257874,0.901,0.099,4.719596862792969,5.656460762023926,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9963794946670532,-1.615285873413086e-05,0.0,228.0,,0.9963956475257874,,,,
ML-20M,11,quota,0.996449053287506,0.901,0.099,4.711718559265137,5.660671710968018,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9964497685432434,7.152557373046875e-07,0.0,228.0,,0.996449053287506,,,,
ML-20M,12,quota,0.996426284313202,0.901,0.099,4.700535297393799,5.654721736907959,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9964659810066224,3.969669342041016e-05,0.0,230.0,,0.996426284313202,,,,
ML-20M,13,quota,0.9964715838432312,0.901,0.099,4.696327686309815,5.671468734741211,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9964741468429564,2.562999725341797e-06,0.0,232.0,,0.9964715838432312,,,,
ML-20M,14,quota,0.9965347647666932,0.9,0.1,4.690997123718262,5.672704696655273,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9965391755104064,4.410743713378906e-06,0.0,227.0,,0.9965347647666932,,,,
ML-20M,15,quota,0.9965421557426452,0.901,0.099,4.688266754150391,5.671788215637207,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9964975714683532,-4.458427429199219e-05,0.0,230.0,,0.9965421557426452,,,,
ML-20M,16,quota,0.9965452551841736,0.901,0.099,4.684262752532959,5.671788215637207,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9965693354606628,2.408027648925781e-05,0.0,223.0,,0.9965452551841736,,,,
