dataset,t,method,tau,B,cand_n,n_chunk,compliance,viol_rate,mean_reward,reward_gap_to_oracle,hit,ndcg,mean_list_risk,p95_risk,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean
ML-1M,21,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9504132231404959,0.04958677685950408,10.286488970449149,0.0019266506857107402,0.05785123966942149,0.025324377200999202,1.4379419965192306,2.3393428325653076,0.049586776859504134,0.05272772371276351,1.3882421321612743
ML-1M,21,OC-Quota,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.269725945370256,0.018689675764603564,0.05785123966942149,0.025324377200999202,1.3953325551403455,2.4298954010009766,0.06611570247933884,0.013231691644211452,1.3456326907823895
ML-1M,22,Penalty,0.9,2.347123050689697,3533,121,0.9421487603305785,0.05785123966942152,10.261315858068546,0.038009604146656883,0.09090909090909091,0.042958447973303615,1.2118513974522755,2.425776243209839,0.05785123966942149,0.017467855027884498,1.120475160804662
ML-1M,22,Primal-Dual,0.9,2.347123050689697,3533,121,0.9008264462809917,0.09917355371900827,10.299325462215203,0.0,0.08264462809917356,0.04026353119169087,1.445390296253291,2.939370632171631,0.09917355371900827,0.0561891248403502,1.3646226792542402
ML-1M,22,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9256198347107438,0.07438016528925617,10.297569519232127,0.0017559429830757978,0.08264462809917356,0.04026353119169087,1.434772309069791,2.939370632171631,0.0743801652892562,0.0500226643459856,1.3540046920707403
ML-1M,22,OC-Quota,0.9,2.347123050689697,3533,121,0.9173553719008265,0.0826446280991735,10.284349078974447,0.014976383240755453,0.08264462809917356,0.04026353119169087,1.4135331672824119,2.570375442504883,0.08264462809917356,0.018142363256659397,1.332765550283361
ML-1M,23,Penalty,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.549961882189285,0.04054310302103836,0.06611570247933884,0.02887513847137982,1.2998211072249846,2.4181008338928223,0.06611570247933884,0.02787368396096979,1.2359297335886759
ML-1M,23,Primal-Dual,0.9,2.347123050689697,3533,121,0.859504132231405,0.14049586776859502,10.592736023516695,-0.0022310383063715022,0.09090909090909091,0.03543908224087802,1.5698556611853198,2.9798731803894043,0.14049586776859505,0.09098235989405107,1.4667720676453646
ML-1M,23,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.587564421094154,0.0029405641161694973,0.09090909090909091,0.03543908224087802,1.523987012214897,2.5935308933258057,0.06611570247933884,0.056257236496476105,1.4209034186749419
ML-1M,23,OC-Quota,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.572554816884443,0.017950168325880256,0.09090909090909091,0.03543908224087802,1.5042230144512554,2.5935308933258057,0.10743801652892562,0.03035651593168906,1.4011394209113002
