dataset,t,method,tau,B,cand_n,n_chunk,compliance,viol_rate,mean_reward,reward_gap_to_oracle,hit,ndcg,mean_list_risk,p95_risk,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean
Amazon-VideoGames,13,Penalty,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,6.285314564704895,0.05736807823181156,0.08,0.039227330002383515,0.7570944983512163,1.6141602098941799,0.09,0.02534539222717285,0.7022073815017938
Amazon-VideoGames,13,Primal-Dual,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,6.345295624732971,-0.0026129817962647905,0.08,0.046056963016513956,0.9551755654811859,2.55103120803833,0.09,0.09829066157341003,0.8775796595215798
Amazon-VideoGames,13,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,6.332242312431336,0.010440330505370632,0.08,0.046056963016513956,0.9313000118732453,2.55103120803833,0.05,0.07926664471626282,0.8537041059136391
Amazon-VideoGames,13,OC-Quota,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,6.293596076965332,0.04908656597137462,0.08,0.046056963016513956,0.8594860184192658,1.6367644846439362,0.1,0.02296393156051636,0.7995082345604897
Amazon-VideoGames,14,Penalty,0.9,1.4568411111831665,17286,100,0.84,0.16000000000000003,6.6653081107139585,0.09058454275131211,0.06,0.021664881496577665,0.8633974035084248,1.8808460116386412,0.16,0.08210975289344788,0.84054244145751
Amazon-VideoGames,14,Primal-Dual,0.9,1.4568411111831665,17286,100,0.86,0.14,6.783057527542114,-0.02716487407684376,0.05,0.018222461318958372,1.2011268205940724,3.1564836263656573,0.14,0.30548921823501585,1.1836284793913365
Amazon-VideoGames,14,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.86,0.14,6.783057527542114,-0.02716487407684376,0.05,0.018222461318958372,1.2011268205940724,3.1564836263656573,0.14,0.30548921823501585,1.1836284793913365
Amazon-VideoGames,14,OC-Quota,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,6.580951790809632,0.1749408626556388,0.05,0.018222461318958372,0.9091766066849232,1.5611612558364867,0.08,0.019976680278778077,0.8916782654821873
Amazon-VideoGames,15,Penalty,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,5.94353985786438,0.07878349304199261,0.06,0.03029302973975499,0.7821465560793877,1.8397277772426601,0.1,0.06074684262275696,0.7572006268799305
Amazon-VideoGames,15,Primal-Dual,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,6.0223233509063725,0.0,0.07,0.03326899394213623,1.0025656551122666,2.6297998785972583,0.09,0.1368047821521759,0.9701706904172898
Amazon-VideoGames,15,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,6.0223233509063725,0.0,0.07,0.03326899394213623,1.0025656551122666,2.6297998785972583,0.09,0.1368047821521759,0.9701706904172898
Amazon-VideoGames,15,OC-Quota,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.918310227394104,0.1040131235122681,0.07,0.03326899394213623,0.8962355929613114,1.7040554046630858,0.11,0.03177819609642029,0.8638406282663346
Amazon-VideoGames,16,Penalty,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.712808752059937,0.058166480064391735,0.06,0.023552448711837447,0.6448816668987274,1.7770818710327148,0.07,0.035806972980499265,0.5973197945952415
Amazon-VideoGames,16,Primal-Dual,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.767738890647888,0.003236341476440252,0.05,0.021915191132219562,0.8074232524633408,2.820562469959259,0.07,0.11196493506431579,0.7586605995893478
Amazon-VideoGames,16,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.767738890647888,0.003236341476440252,0.05,0.021915191132219562,0.8074232524633408,2.820562469959259,0.07,0.11196493506431579,0.7586605995893478
Amazon-VideoGames,16,OC-Quota,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.6934901714324955,0.07748506069183314,0.05,0.022353428640608075,0.7022608941793442,1.493770533800125,0.05,0.01211423397064209,0.6592821604013444
Amazon-VideoGames,17,Penalty,0.9,1.4568411111831665,17286,100,0.84,0.16000000000000003,6.367677298784256,0.06294528245925957,0.04,0.025177825608059992,0.9052008898556232,1.9637611746788024,0.16,0.10732770323753357,0.8897825393080712
Amazon-VideoGames,17,Primal-Dual,0.9,1.4568411111831665,17286,100,0.86,0.14,6.452056978940964,-0.021434397697448482,0.04,0.026925360652163083,1.1919679756462573,3.1446960449218744,0.14,0.3020933711528778,1.1731188148260117
Amazon-VideoGames,17,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.86,0.14,6.452815397977829,-0.022192816734313503,0.04,0.026925360652163083,1.1698688133060933,2.7070710778236378,0.14,0.28076125264167784,1.1510196524858474
Amazon-VideoGames,17,OC-Quota,0.9,1.4568411111831665,17286,100,0.88,0.12,6.243691648244858,0.18693093299865726,0.04,0.026925360652163083,0.9152331037819386,1.5623688876628874,0.12,0.01917197585105896,0.8963839429616928
Amazon-VideoGames,18,Penalty,0.9,1.4568411111831665,17286,100,0.96,0.040000000000000036,6.1294094395637515,0.04909818649291964,0.06,0.040951928404762486,0.6761314657330513,1.3546523272991178,0.04,0.017577297687530517,0.6497836410999298
Amazon-VideoGames,18,Primal-Dual,0.9,1.4568411111831665,17286,100,0.97,0.030000000000000027,6.167088973522186,0.011418652534485041,0.06,0.03656799152121099,0.8045255394279957,1.439933431148529,0.03,0.04497585892677307,0.7741106267273427
Amazon-VideoGames,18,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.97,0.030000000000000027,6.167088973522186,0.011418652534485041,0.06,0.03656799152121099,0.8045255394279957,1.439933431148529,0.03,0.04497585892677307,0.7741106267273427
Amazon-VideoGames,18,OC-Quota,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,6.138786265850067,0.03972136020660422,0.06,0.03656799152121099,0.7740821631252766,1.5089064478874206,0.06,0.015651984214782713,0.7436672504246234
Amazon-VideoGames,19,Penalty,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,6.233489625453949,0.08135567426681511,0.04,0.01922959427791637,0.792522274851799,1.6403049349784846,0.06,0.05773602247238159,0.7713545125722885
Amazon-VideoGames,19,Primal-Dual,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,6.314845299720764,0.0,0.04,0.025177825608059992,1.025022566318512,2.4775066614150996,0.09,0.15071377038955688,0.9977131769061088
Amazon-VideoGames,19,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,6.306992077827454,0.007853221893309836,0.04,0.025177825608059992,1.0027688562870025,2.303482174873351,0.06,0.13094237089157104,0.9754594668745995
Amazon-VideoGames,19,OC-Quota,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,6.194303960800171,0.12054133892059316,0.04,0.025177825608059992,0.8932191491127014,1.582744550704956,0.1,0.013870110511779785,0.8634572312235832
Amazon-VideoGames,20,Penalty,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,5.853550567626953,0.06781992673873916,0.04,0.016487123143774568,0.7524908667057753,1.7565506815910337,0.1,0.11225228786468505,0.7475637351721525
Amazon-VideoGames,20,Primal-Dual,0.9,1.4568411111831665,17286,100,0.88,0.12,5.929129264354706,-0.007758769989013814,0.03,0.013332474375917279,0.9811520855873823,2.934108471870422,0.12,0.24772977709770203,0.9770630273967982
Amazon-VideoGames,20,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.927733771800995,-0.006363277435302628,0.03,0.013332474375917279,0.977910062596202,2.934108471870422,0.11,0.24559446215629577,0.9738210044056177
Amazon-VideoGames,20,OC-Quota,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.749675886631012,0.17169460773467993,0.03,0.013332474375917279,0.754628012701869,1.617191296815872,0.08,0.02584975481033325,0.7505389545112848
Amazon-VideoGames,21,Penalty,0.9,1.4568411111831665,17286,100,0.88,0.12,6.058158338069916,0.05968667030334451,0.07,0.037059804350963337,0.8586629834771157,1.8226498484611506,0.12,0.05826656818389893,0.8140569979697466
Amazon-VideoGames,21,Primal-Dual,0.9,1.4568411111831665,17286,100,0.87,0.13,6.133178226947784,-0.015333218574523855,0.07,0.03761157626540375,1.0703117728978395,2.4800793886184684,0.13,0.1406833028793335,1.0170651634037495
Amazon-VideoGames,21,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.88,0.12,6.13128937959671,-0.013444371223449991,0.07,0.03761157626540375,1.0671705330163241,2.4800793886184684,0.12,0.13789966344833374,1.013923923522234
Amazon-VideoGames,21,OC-Quota,0.9,1.4568411111831665,17286,100,0.81,0.18999999999999995,6.047921454906463,0.06992355346679702,0.07,0.03761157626540375,0.9863911820203066,1.792158555984497,0.19,0.0503436541557312,0.9331445725262165
Amazon-VideoGames,22,Penalty,0.9,1.4568411111831665,17286,100,0.84,0.16000000000000003,6.551400952339172,0.03900769710540786,0.09,0.06673736552415957,0.8736217620968819,1.9694325566291806,0.16,0.06482253313064575,0.832713398784399
Amazon-VideoGames,22,Primal-Dual,0.9,1.4568411111831665,17286,100,0.88,0.12,6.606536474227905,-0.016127824783325195,0.09,0.06773705614469083,1.049727763980627,2.7855315685272215,0.12,0.15635086059570313,1.005882061421871
Amazon-VideoGames,22,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.85,0.15000000000000002,6.618130111694336,-0.027721462249756357,0.09,0.06773705614469083,1.071429893821478,2.7855315685272215,0.15,0.17398231625556945,1.027584191262722
Amazon-VideoGames,22,OC-Quota,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,6.4812756490707395,0.10913300037384044,0.09,0.06773705614469083,0.9215221200883389,1.684290027618408,0.1,0.025075232982635497,0.8722674664855004
Amazon-VideoGames,23,Penalty,0.9,1.4568411111831665,17286,100,0.95,0.050000000000000044,6.64350811958313,0.04644723415374763,0.08,0.046201311827731434,0.6410246096551419,1.4388841152191156,0.05,0.03143420696258545,0.6115919171273708
Amazon-VideoGames,23,Primal-Dual,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,6.686446800231933,0.0035085535049441674,0.1,0.04979771945307022,0.786340114325285,2.172931814193725,0.06,0.0790907859802246,0.745725535005331
Amazon-VideoGames,23,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,6.686446800231933,0.0035085535049441674,0.1,0.04979771945307022,0.786340114325285,2.172931814193725,0.06,0.0790907859802246,0.745725535005331
Amazon-VideoGames,23,OC-Quota,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,6.622646696567536,0.06730865716934176,0.1,0.04979771945307022,0.7218864779174328,1.520850282907486,0.06,0.014989180564880371,0.6812718985974788
Amazon-VideoGames,24,Penalty,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.900210199356079,0.07298096418380773,0.03,0.013511158941393325,0.8345985195040703,1.7083311736583706,0.11,0.04659749507904053,0.8129176206886768
Amazon-VideoGames,24,Primal-Dual,0.9,1.4568411111831665,17286,100,0.86,0.14,5.990877454280853,-0.017686290740966726,0.04,0.017073230812473545,1.093419624119997,3.0637752056121825,0.14,0.19715989351272584,1.0640373732149602
Amazon-VideoGames,24,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.85,0.15000000000000002,5.9950039935112,-0.02181282997131362,0.04,0.017073230812473545,1.104758873730898,3.0637752056121825,0.15,0.20792728066444396,1.075376622825861
Amazon-VideoGames,24,OC-Quota,0.9,1.4568411111831665,17286,100,0.88,0.12,5.891102993488312,0.08208817005157432,0.04,0.01653803607346146,0.9245527823269367,1.7038867950439454,0.11,0.030377061367034913,0.8924205030500889
Amazon-VideoGames,25,Penalty,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.711193330287934,0.059579787254333105,0.06,0.022388071363593262,0.7128322120010853,2.036359894275665,0.11,0.06696234107017517,0.6775575324892997
Amazon-VideoGames,25,Primal-Dual,0.9,1.4568411111831665,17286,100,0.88,0.12,5.788931591510773,-0.018158473968505895,0.04,0.01666580770925061,0.9516502323746682,2.9197389841079713,0.12,0.17989848613739012,0.9367867986857891
Amazon-VideoGames,25,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.88,0.12,5.788931591510773,-0.018158473968505895,0.04,0.01666580770925061,0.9516502323746682,2.9197389841079713,0.12,0.17989848613739012,0.9367867986857891
Amazon-VideoGames,25,OC-Quota,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.657381885051727,0.11339123249053973,0.04,0.01666580770925061,0.7819153001904487,1.6087320864200592,0.08,0.01702760934829712,0.7670518665015698
Amazon-VideoGames,26,Penalty,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,6.096898190975189,0.04691941261291532,0.05,0.02788166936343461,0.6617017740011215,1.6524048805236815,0.09,0.03809375524520874,0.6453494539856911
Amazon-VideoGames,26,Primal-Dual,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,6.137205817699432,0.0066117858886718395,0.04,0.02448459118879392,0.7857314194738865,1.916526061296462,0.07,0.07364816665649414,0.7706689666211605
Amazon-VideoGames,26,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,6.141356780529022,0.002460823059082351,0.04,0.02448459118879392,0.7908771039545536,1.916526061296462,0.08,0.07778419494628906,0.7758146511018276
Amazon-VideoGames,26,OC-Quota,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,6.073366878032684,0.07045072555542031,0.04,0.02448459118879392,0.7377477861940861,1.6104456186294553,0.09,0.023278015851974487,0.7226853333413601
Amazon-VideoGames,27,Penalty,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,5.468524068593979,0.050957350730896245,0.05,0.020192617613399313,0.614716018140316,1.554241687059402,0.07,0.04801731824874878,0.5881932339072228
Amazon-VideoGames,27,Primal-Dual,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.513497866392136,0.005983552932739222,0.04,0.015686215613240666,0.7501850023865699,2.146028101444244,0.06,0.09360431909561157,0.7222089058160782
Amazon-VideoGames,27,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.513497866392136,0.005983552932739222,0.04,0.015686215613240666,0.7501850023865699,2.146028101444244,0.06,0.09360431909561157,0.7222089058160782
Amazon-VideoGames,27,OC-Quota,0.9,1.4568411111831665,17286,100,0.96,0.040000000000000036,5.444257410764695,0.07522400856018052,0.04,0.015686215613240666,0.6666569498181343,1.4242814600467681,0.04,0.013928591012954713,0.6386808532476426
Amazon-VideoGames,28,Penalty,0.9,1.4568411111831665,17286,100,0.95,0.050000000000000044,5.9089433741569515,0.05053904056549108,0.07,0.029147320582363145,0.6360497564077378,1.4403300702571866,0.05,0.014001373052597046,0.6072934322059155
Amazon-VideoGames,28,Primal-Dual,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.958160321712494,0.001322093009948233,0.07,0.02796134712067178,0.7676855094730854,1.845184731483459,0.08,0.05174315452575683,0.7253238195180893
Amazon-VideoGames,28,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.956651108264923,0.002831306457519389,0.07,0.02796134712067178,0.7639723677933216,1.845184731483459,0.06,0.048471074104309085,0.7216106778383256
Amazon-VideoGames,28,OC-Quota,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,5.934982118606567,0.024500296115875564,0.07,0.02796134712067178,0.7429184754192829,1.587429445981979,0.1,0.02420163631439209,0.7005567854642868
Amazon-VideoGames,29,Penalty,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.524974890947342,0.052898355722427404,0.07,0.025805794423456003,0.6793842034041881,1.9000465810298914,0.08,0.061302516460418705,0.6533538069576025
Amazon-VideoGames,29,Primal-Dual,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.576394593715667,0.0014786529541019888,0.07,0.02665590259683339,0.8199933563917875,2.115530908107756,0.08,0.1261600947380066,0.7854142137616873
Amazon-VideoGames,29,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.576394593715667,0.0014786529541019888,0.07,0.02665590259683339,0.8199933563917875,2.115530908107756,0.08,0.1261600947380066,0.7854142137616873
Amazon-VideoGames,29,OC-Quota,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,5.485353055000306,0.09252019166946379,0.07,0.02665590259683339,0.7216007911413908,1.6269072473049162,0.09,0.025795032978057863,0.6851964160054922
Amazon-VideoGames,30,Penalty,0.9,1.4568411111831665,17286,100,0.97,0.030000000000000027,5.496710052490235,0.04576062083244281,0.05,0.025070698857492902,0.5983611243963242,1.2200559854507447,0.03,0.007612192630767822,0.5698051011562347
Amazon-VideoGames,30,Primal-Dual,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.541860336065293,0.0006103372573846855,0.05,0.030050053972270844,0.7474803039431572,1.5439565658569334,0.06,0.05207462072372437,0.7139623145759105
Amazon-VideoGames,30,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.96,0.040000000000000036,5.5411570775508885,0.0013135957717889113,0.05,0.030050053972270844,0.7442417296767235,1.427026456594467,0.04,0.04969524621963501,0.7107237403094768
Amazon-VideoGames,30,OC-Quota,0.9,1.4568411111831665,17286,100,0.95,0.050000000000000044,5.526408962011337,0.016061711311340154,0.05,0.030050053972270844,0.7055045935511589,1.429596036672592,0.05,0.011502896547317504,0.6719866041839123
Amazon-VideoGames,31,Penalty,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,5.313053876161575,0.06648285746574434,0.05,0.019190966899149186,0.6644566121697426,1.6199904322624206,0.09,0.028009992837905884,0.6459051454067231
Amazon-VideoGames,31,Primal-Dual,0.9,1.4568411111831665,17286,100,0.88,0.12,5.384125452041626,-0.004588718414306747,0.04,0.013010299956639812,0.8750849390029907,2.6851586937904357,0.12,0.14158341884613038,0.8483683931827545
Amazon-VideoGames,31,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,5.3824888038635255,-0.002952070236205806,0.04,0.013010299956639812,0.8707140791416168,2.6851586937904357,0.1,0.13748823165893553,0.8439975333213806
Amazon-VideoGames,31,OC-Quota,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,5.329492664337158,0.05004406929016181,0.04,0.013010299956639812,0.7615955579280853,1.711242800951004,0.09,0.03243826031684875,0.7348790121078491
Amazon-VideoGames,32,Penalty,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.448142653107643,0.06436783015727965,0.07,0.04675019743578002,0.7435174567997456,1.727611362934112,0.11,0.03769667744636536,0.6998442117869854
Amazon-VideoGames,32,Primal-Dual,0.9,1.4568411111831665,17286,100,0.85,0.15000000000000002,5.525969517230988,-0.013459033966064737,0.07,0.04591666643783096,0.9515096801519394,2.378166913986206,0.14,0.11510563254356385,0.8992961618304253
Amazon-VideoGames,32,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.85,0.15000000000000002,5.526993486881256,-0.014483003616333257,0.07,0.04591666643783096,0.9534665542840958,2.378166913986206,0.15,0.11967798948287964,0.9040853521227836
Amazon-VideoGames,32,OC-Quota,0.9,1.4568411111831665,17286,100,0.84,0.16000000000000003,5.4629537081718444,0.04955677509307854,0.07,0.04591666643783096,0.8803008502721786,1.763764804601669,0.15,0.044298406839370724,0.8280873319506645
Amazon-VideoGames,33,Penalty,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,5.6741053736209865,0.06449671030044613,0.08,0.030772317626613487,0.6661814419925213,1.612290853261947,0.07,0.04059179186820984,0.6324626056104898
Amazon-VideoGames,33,Primal-Dual,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,5.7338771617412565,0.004724922180176172,0.09,0.03537968652872987,0.8467586340755224,2.133695328235625,0.07,0.12444403290748596,0.8051305661350489
Amazon-VideoGames,33,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,5.738602083921433,0.0,0.09,0.03537968652872987,0.8596970846503973,2.133695328235625,0.09,0.13518620967864992,0.8180690167099237
Amazon-VideoGames,33,OC-Quota,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,5.661097339391708,0.07750474452972433,0.09,0.03537968652872987,0.7520075061172247,1.598082989454269,0.1,0.028731344938278197,0.7103794381767511
Amazon-VideoGames,34,Penalty,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.754594039916992,0.060767415761947774,0.07,0.030029029235076575,0.7274128629267216,1.5672058343887323,0.06,0.034885414838790894,0.6960220853984356
Amazon-VideoGames,34,Primal-Dual,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.814028779268265,0.0013326764106755817,0.06,0.02829049778477434,0.8970591846108437,2.015225493907928,0.08,0.08457324624061585,0.869019550383091
Amazon-VideoGames,34,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.814028779268265,0.0013326764106755817,0.06,0.02829049778477434,0.8970591846108437,2.015225493907928,0.08,0.08457324624061585,0.869019550383091
Amazon-VideoGames,34,OC-Quota,0.9,1.4568411111831665,17286,100,0.85,0.15000000000000002,5.753580883741379,0.061780571937561035,0.06,0.02829049778477434,0.8747673645615578,1.931677794456482,0.15,0.05309673190116882,0.8467277303338051
Amazon-VideoGames,35,Penalty,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,5.064450594186783,0.06224445581436111,0.05,0.02746141434859122,0.7305819644778967,1.95828902721405,0.1,0.08245590329170227,0.7065176937729121
Amazon-VideoGames,35,Primal-Dual,0.9,1.4568411111831665,17286,100,0.86,0.14,5.141050690412522,-0.01435564041137738,0.05,0.02675917633552429,0.9612531645596027,2.644306504726409,0.14,0.18791355967521667,0.9325742135941982
Amazon-VideoGames,35,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.86,0.14,5.141050690412522,-0.01435564041137738,0.05,0.02675917633552429,0.9612531645596027,2.644306504726409,0.14,0.18791355967521667,0.9325742135941982
Amazon-VideoGames,35,OC-Quota,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,5.011368881464005,0.1153261685371394,0.05,0.02675917633552429,0.8045486874878407,1.725805014371872,0.1,0.03244140625,0.7758697365224362
Amazon-VideoGames,36,Penalty,0.9,1.4568411111831665,17286,100,0.86,0.14,6.334512255191803,0.034549286365509246,0.08,0.03829721240898576,0.8489117899537086,2.150392735004425,0.14,0.07984429955482483,0.8097127988934517
Amazon-VideoGames,36,Primal-Dual,0.9,1.4568411111831665,17286,100,0.87,0.13,6.387985520362854,-0.01892397880554153,0.08,0.038390605729316025,1.0181835091114044,2.843612539768219,0.13,0.16896734476089478,0.9767580810189247
Amazon-VideoGames,36,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.85,0.15000000000000002,6.391932301521301,-0.022870759963988796,0.08,0.038390605729316025,1.0270117247104644,2.843612539768219,0.15,0.17580094575881958,0.9855862966179848
Amazon-VideoGames,36,OC-Quota,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,6.270034837722778,0.09902670383453405,0.08,0.038390605729316025,0.8758156311511993,1.7444112956523894,0.1,0.02799521565437317,0.8310542836785316
Amazon-VideoGames,37,Penalty,0.9,1.4568411111831665,17286,100,0.96,0.040000000000000036,5.747934475541115,0.05174373567104329,0.09,0.04981028695716438,0.6251099491119385,1.4348031044006349,0.04,0.023496215343475343,0.58741947427392
Amazon-VideoGames,37,Primal-Dual,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.798100752830505,0.0015774583816527965,0.1,0.049703160206597284,0.7722839106619358,1.9121897101402279,0.05,0.06707699179649353,0.7146343691647052
Amazon-VideoGames,37,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.798100752830505,0.0015774583816527965,0.1,0.049703160206597284,0.7722839106619358,1.9121897101402279,0.05,0.06707699179649353,0.7146343691647052
Amazon-VideoGames,37,OC-Quota,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,5.759049730300903,0.040628480911254705,0.1,0.05214392966996645,0.7163027073442936,1.5179405212402344,0.09,0.01739001154899597,0.667994923144579
Amazon-VideoGames,38,Penalty,0.9,1.4568411111831665,17286,100,0.86,0.14,5.6942713570594785,0.051341547966003986,0.05,0.02094342861046206,0.8493946073204279,1.8827176034450526,0.14,0.07018367171287537,0.8155471683293581
Amazon-VideoGames,38,Primal-Dual,0.9,1.4568411111831665,17286,100,0.89,0.10999999999999999,5.750194084644318,-0.004581179618835307,0.04,0.0173298974489942,1.042436975762248,2.421819102764129,0.11,0.13876372337341308,1.0083397059887647
Amazon-VideoGames,38,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.84,0.16000000000000003,5.75936886548996,-0.013755960464477468,0.04,0.0173298974489942,1.065906888768077,2.421819102764129,0.16,0.15825585007667542,1.0318096189945936
Amazon-VideoGames,38,OC-Quota,0.9,1.4568411111831665,17286,100,0.87,0.13,5.6364658427238465,0.10914706230163596,0.04,0.0173298974489942,0.9318125479668379,1.6965458691120148,0.13,0.02985616445541382,0.8977152781933546
Amazon-VideoGames,39,Penalty,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,5.6765317893028255,0.049446814060211786,0.04,0.014913825103381581,0.6786135779321194,1.4875841796398162,0.07,0.017437806129455568,0.6663070191442967
Amazon-VideoGames,39,Primal-Dual,0.9,1.4568411111831665,17286,100,0.92,0.07999999999999996,5.723688726425171,0.0022898769378665307,0.04,0.014607368902116386,0.8144126515090465,2.1463711261749268,0.08,0.0596809983253479,0.8007795490324497
Amazon-VideoGames,39,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,5.725978603363037,0.0,0.04,0.014607368902116386,0.8179668955504894,2.1463711261749268,0.09,0.06286993861198426,0.8043337930738926
Amazon-VideoGames,39,OC-Quota,0.9,1.4568411111831665,17286,100,0.88,0.12,5.6950939798355105,0.030884623527526855,0.04,0.014607368902116386,0.7869476382434368,1.6801698446273803,0.12,0.029563666582107545,0.77331453576684
Amazon-VideoGames,40,Penalty,0.9,1.4568411111831665,17286,100,0.9,0.09999999999999998,6.1016857159137725,0.06748683810234102,0.04,0.02630929753571458,0.8094756054133176,1.7280957043170924,0.1,0.055447134971618656,0.7848167180269957
Amazon-VideoGames,40,Primal-Dual,0.9,1.4568411111831665,17286,100,0.88,0.12,6.179072542190552,-0.009899988174438157,0.04,0.02622398159651221,1.0400469075888394,2.629603040218352,0.12,0.17199454307556153,1.0175445478409528
Amazon-VideoGames,40,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.84,0.16000000000000003,6.185901141166687,-0.016728587150573127,0.04,0.02622398159651221,1.0575889515131711,2.629603040218352,0.16,0.18632694721221923,1.0350865917652845
Amazon-VideoGames,40,OC-Quota,0.9,1.4568411111831665,17286,100,0.91,0.08999999999999997,6.073491477966309,0.09568107604980458,0.04,0.02622398159651221,0.8894956158846616,1.748043143749237,0.09,0.031221224069595335,0.866993256136775
Amazon-VideoGames,41,Penalty,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.082352586984634,0.06198011755943256,0.02,0.009199945798893454,0.6772605475783348,1.5092432081699372,0.06,0.02548967480659485,0.6712075945734978
Amazon-VideoGames,41,Primal-Dual,0.9,1.4568411111831665,17286,100,0.94,0.06000000000000005,5.140761694908142,0.0035710096359249377,0.02,0.009199945798893454,0.842593095600605,1.6121106147766109,0.06,0.07133772850036621,0.8353512746095657
Amazon-VideoGames,41,QuotaGateV6,0.9,1.4568411111831665,17286,100,0.93,0.06999999999999995,5.142404308319092,0.001928396224974982,0.02,0.009199945798893454,0.848341957628727,1.7479894399642937,0.07,0.07701343894004822,0.8411001366376877
