dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,lam,tune,val_compliance,mandatory_infeasible,discretionary_used,V_left_end,warmup
ML-1M,3533,3533,2.347123050689697,0.8,0.85,OracleGate,0.07125103562551781,0.03446572177144823,0.07125103562551781,0.03446572177144823,0.8500414250207124,1.6064806683197335,3.2528762817382812,10.544993207389497,1.0,,,,0.0,905.0,,
ML-1M,3533,3533,2.347123050689697,0.8,0.85,QuotaGateV6,0.07108533554266777,0.03442219819632809,0.07108533554266777,0.03442219819632809,0.8500414250207124,1.6064588819776278,3.253018617630005,10.544892680477089,1.0,,,,,,0.0,0.0
ML-1M,3533,3533,2.347123050689697,0.8,0.9,Baseline(mu-only),0.07058823529411765,0.034296528071027114,0.07058823529411765,0.034296528071027114,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,HardBisection,0.07174813587406793,0.03482365686338899,0.07174813587406793,0.03482365686338899,1.0,1.4622569187117591,2.3018548250198365,10.497955860021001,1.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,"PenaltyGrid, λ*=1.000",0.07141673570836786,0.03582918484233377,0.07141673570836786,0.03582918484233377,0.9948632974316487,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,1.0,grid,0.9948632974316487,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,"PenaltyBisect, λ=0.329",0.07141673570836786,0.03532821347380057,0.07141673570836786,0.03532821347380057,0.9000828500414251,1.3526033755771465,2.6677314281463627,10.503240027423722,1.0,0.32939910888671875,bisect,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,OracleGate,0.07141673570836786,0.034582620697757825,0.07141673570836786,0.034582620697757825,0.9000828500414251,1.5814028555275788,3.2328308105468753,10.540983112053922,1.0,,,,0.0,603.0,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,QuotaGateV6,0.07141673570836786,0.03459148887901735,0.07141673570836786,0.03459148887901735,0.9000828500414251,1.581030068740977,3.222679424285889,10.540788400834913,1.0,,,,,,0.0,0.0
ML-1M,3533,3533,2.347123050689697,0.8,0.95,Baseline(mu-only),0.07058823529411765,0.034296528071027114,0.07058823529411765,0.034296528071027114,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.95,HardBisection,0.07174813587406793,0.03482365686338899,0.07174813587406793,0.03482365686338899,1.0,1.4622569187117591,2.3018548250198365,10.497955860021001,1.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.95,"PenaltyGrid, λ*=1.000",0.07141673570836786,0.03582918484233377,0.07141673570836786,0.03582918484233377,0.9948632974316487,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,1.0,grid,0.9948632974316487,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.95,"PenaltyBisect, λ=0.518",0.0715824357912179,0.03559020827066579,0.0715824357912179,0.03559020827066579,0.9501242750621375,1.2212249320836825,2.3468834400177,10.447935652397048,1.0,0.5176544189453125,bisect,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.95,OracleGate,0.07174813587406793,0.03469556529680704,0.07174813587406793,0.03469556529680704,0.9501242750621375,1.5381009346644248,2.347014236450195,10.53030797283612,1.0,,,,0.0,301.0,,
ML-1M,3533,3533,2.347123050689697,0.8,0.95,QuotaGateV6,0.07191383595691798,0.034845135599252765,0.07191383595691798,0.034845135599252765,0.9501242750621375,1.5379756516072507,2.347014236450195,10.530151129519535,1.0,,,,,,0.0,0.0
ML-1M,3533,3533,2.347123050689697,0.8,0.98,Baseline(mu-only),0.07058823529411765,0.034296528071027114,0.07058823529411765,0.034296528071027114,0.8,1.6208752235933188,3.253018617630005,10.545962007280806,1.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.98,HardBisection,0.07174813587406793,0.03482365686338899,0.07174813587406793,0.03482365686338899,1.0,1.4622569187117591,2.3018548250198365,10.497955860021001,1.0,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.98,"PenaltyGrid, λ*=1.000",0.07141673570836786,0.03582918484233377,0.07141673570836786,0.03582918484233377,0.9948632974316487,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,1.0,grid,0.9948632974316487,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.98,"PenaltyBisect, λ=0.734",0.0724109362054681,0.03608647483191237,0.0724109362054681,0.03608647483191237,0.980115990057995,1.090297657442715,2.0419638395309447,10.366353606387614,1.0,0.7341384887695312,bisect,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.98,OracleGate,0.07141673570836786,0.0347161509462193,0.07141673570836786,0.0347161509462193,0.980115990057995,1.5016126725566517,2.317362976074219,10.517243114145906,1.0,,,,0.0,120.0,,
ML-1M,3533,3533,2.347123050689697,0.8,0.98,QuotaGateV6,0.07141673570836786,0.0347161509462193,0.07141673570836786,0.0347161509462193,0.980115990057995,1.500301126362918,2.3175010204315187,10.51691369480996,1.0,,,,,,0.0,5.0
ML-20M,5000,20720,0.9630447268486023,0.8,0.8,Baseline(mu-only),0.081,0.039728757821822384,0.08414710159983378,0.04127234346750716,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,,,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.8,HardBisection,0.083,0.040377806748658665,0.08622480781217536,0.04194660996120784,1.0,0.643371999180317,0.9446596473455429,9.783803705787658,0.9626,,,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.8,"PenaltyGrid, λ*=3.750",0.0852,0.04155290049864792,0.08851028464575109,0.04316735975342605,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9626,3.75,grid,1.0,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.8,"PenaltyBisect, λ=0.000",0.081,0.039728757821822384,0.08414710159983378,0.04127234346750716,0.8,0.7095136522650719,1.3127454400062561,9.817906451892853,0.9626,0.00019073486328125,bisect,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.8,OracleGate,0.081,0.039728757821822384,0.08414710159983378,0.04127234346750716,0.8002,0.7094779869079589,1.3130329787731172,9.817906431293487,0.9626,,,,0.0,999.0,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.8,QuotaGateV6,0.081,0.039728757821822384,0.08414710159983378,0.04127234346750716,0.8022,0.7092574970960617,1.3130329787731172,9.817887624835969,0.9626,,,,,,10.0,0.0
ML-20M,5000,20720,0.9630447268486023,0.8,0.85,Baseline(mu-only),0.081,0.039728757821822384,0.08414710159983378,0.04127234346750716,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.9626,,,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.85,HardBisection,0.083,0.040377806748658665,0.08622480781217536,0.04194660996120784,1.0,0.643371999180317,0.9446596473455429,9.783803705787658,0.9626,,,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.85,"PenaltyGrid, λ*=3.750",0.0852,0.04155290049864792,0.08851028464575109,0.04316735975342605,1.0,0.3741928902626038,0.5822123348712922,9.381042981410026,0.9626,3.75,grid,1.0,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.85,"PenaltyBisect, λ=0.216",0.0824,0.04006402305364171,0.08560149594847288,0.041620634794973736,0.85,0.6647456130638718,1.2027353823184972,9.813110942363739,0.9626,0.2155303955078125,bisect,,,,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.85,OracleGate,0.0814,0.03986983764672976,0.0845626428423021,0.04141890468183021,0.85,0.7033790529131889,1.3130329787731172,9.817347353172302,0.9626,,,,0.0,750.0,,
ML-20M,5000,20720,0.9630447268486023,0.8,0.85,QuotaGateV6,0.0816,0.03992765061199333,0.08477041346353625,0.04147896386037122,0.85,0.7030134782075882,1.3123590886592866,9.817117375946045,0.9626,,,,,,0.0,0.0
