dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,ProxyUtilityLoss_vs_mu,ProxyUtilityGap_to_oracle,lam,tune,mandatory_infeasible,discretionary_used,V_left_end,warmup,val_compliance,eta0,final_lambda,mean_du_positive,count_U_feasible,count_C_enforced,count_U_violate_by_choice,count_U_infeasible_region
ML-1M,3533,3533,2.347123050689697,0.8,0.9,HardBisection (feasibility ceiling),0.0717481358740679,0.0348236568633889,0.0717481358740679,0.0348236568633889,1.0,1.4622569187117591,2.3018548250198365,10.497955860021,1.0,0.0480061472598052,0.0430272520329211,,,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,"PenaltyGrid (>=τ), λ*=1.000",0.0714167357083678,0.0358291848423337,0.0714167357083678,0.0358291848423337,0.9948632974316488,0.9578917998255732,1.751426875591278,10.252178719227434,1.0,0.2937832880533726,0.2888043928264885,1.0,grid,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,"PenaltyBisect (~τ), λ=0.329",0.0714167357083678,0.0353282134738005,0.0714167357083678,0.0353282134738005,0.9000828500414251,1.3526033755771465,2.6677314281463627,10.503240027423722,1.0,0.0427219798570845,0.0377430846302004,0.3293991088867187,bisect,,,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0714167357083678,0.0345826206977578,0.0714167357083678,0.0345826206977578,0.9000828500414251,1.5814028555275788,3.2328308105468757,10.540983112053922,1.0,0.0049788952268841,0.0,,,0.0,603.0,,,,,,,,,,
ML-1M,3533,3533,2.347123050689697,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0714167357083678,0.0345914888790173,0.0714167357083678,0.0345914888790173,0.9000828500414251,1.581030068740977,3.222679424285889,10.540788400834913,1.0,0.0051736064458935,0.0001947112190094,,,,,0.0,0.0,,,,,,,,
ML-20M,200,20720,0.9630447268486024,0.8,0.9,Baseline(mu-only),0.081,0.0397287578218223,0.1389365351629502,0.0681453821986661,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.583,0.0,-0.0031843721389765,,,,,,,,,,,,,,
ML-20M,200,20720,0.9630447268486024,0.8,0.9,ConstrainedGreedy,0.082,0.0400254771678496,0.1406518010291595,0.0686543347647506,0.8892,0.6899703001260757,1.210707950592041,9.803969916725158,0.583,0.0139365349769597,0.0107521628379831,,,,,,,,,,,,,,
ML-20M,200,20720,0.9630447268486024,0.8,0.9,HardBisection (feasibility ceiling),0.083,0.0403778067486586,0.1423670668953688,0.0692586736683682,1.0,0.643371999180317,0.9446596473455428,9.783803705787658,0.583,0.0341027459144598,0.0309183737754832,,,,,,,,,,,,,,
ML-20M,200,20720,0.9630447268486024,0.8,0.9,"PenaltyGrid (>=τ), λ*=3.750",0.0852,0.0415529004986479,0.1461406518010291,0.0712742718673206,1.0,0.3741948482871056,0.5822123348712922,9.381048904299735,0.583,0.4368575474023828,0.4336731752634062,3.75,grid,,,,,,,,,,,,
ML-20M,200,20720,0.9630447268486024,0.8,0.9,"PenaltyBisect (~τ), λ=0.493",0.0834,0.0400814047427686,0.1430531732418525,0.0687502654249891,0.9,0.6179762585505844,1.0996452093124391,9.796766154646871,0.583,0.0211402970552452,0.0179559249162686,0.4926681518554687,bisect,,,,,,,,,,,,
ML-20M,200,20720,0.9630447268486024,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0824,0.0401761893811099,0.1413379073756432,0.0689128462797769,0.9002,0.6935004814147949,1.3113298296928406,9.814722079563142,0.583,0.0031843721389765,0.0,,,0.0,499.0,,,,,,,,,,
ML-20M,200,20720,0.9630447268486024,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0822,0.0401183764158463,0.1409948542024013,0.0688136816738359,0.9002,0.6930342493653298,1.310646891593933,9.814512286853793,0.583,0.0033941648483271,0.0002097927093505,,,,,0.0,0.0,,,,,,,,
ML-20M,500,20720,0.9630447268486024,0.8,0.9,Baseline(mu-only),0.081,0.0397287578218223,0.1063550420168067,0.052164860585376,0.8,0.7095233177065849,1.3130329787731172,9.817906451702118,0.7616,0.0,-0.0031843721389765,,,,,,,,,,,,,,
