dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,lam,tune,val_compliance,mandatory_infeasible,discretionary_used,V_left_end,warmup,eta0,final_lambda,mean_du_positive,count_U_feasible,count_C_enforced,count_U_violate_by_choice,count_U_infeasible_region
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,"PenaltyGrid, λ*=0.750",0.0568,0.0280982404900128,0.0763646141435869,0.0377766072734778,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.7438,0.75,grid,0.9046,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,"PenaltyBisect, λ=0.000",0.0566,0.0280674260556434,0.0760957246571659,0.037735178886318,0.8,0.9828078742817044,2.629247975349428,6.049316044402122,0.7438,0.0001907348632812,bisect,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,OracleGate,0.0566,0.0280674260556434,0.0760957246571659,0.037735178886318,0.8002,0.982826425011456,2.629247975349428,6.049316009879112,0.7438,,,,0.0,999.0,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.8,QuotaGateV6,0.0568,0.0281288127122165,0.0763646141435869,0.0378177100191133,0.8254,0.974328951652348,2.616884291172028,6.046463965773582,0.7438,,,,,,126.0,20.0,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,Baseline(mu-only),0.0566,0.0280674260556434,0.0760957246571659,0.037735178886318,0.8,0.9828616354778408,2.629247975349428,6.049316048502922,0.7438,,,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,HardBisection,0.057,0.028367180844936,0.076633503630008,0.0381381834430439,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.7438,,,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,"PenaltyGrid, λ*=0.750",0.0568,0.0280982404900128,0.0763646141435869,0.0377766072734778,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.7438,0.75,grid,0.9046,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,"PenaltyBisect, λ=0.287",0.0582,0.0285687267354989,0.0782468405485345,0.0384091512980625,0.85,0.8714354976743459,2.243242394924165,6.033813739657402,0.7438,0.286865234375,bisect,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,OracleGate,0.0568,0.0281514421507695,0.0763646141435869,0.037848134109666,0.85,0.9713018330648542,2.629247975349428,6.047874571824074,0.7438,,,,0.0,750.0,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.85,QuotaGateV6,0.0566,0.0280426774006018,0.0760957246571659,0.0377019056205993,0.8562,0.9632235476091504,2.616884291172028,6.04440075199604,0.7438,,,,,,31.0,0.0,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,Baseline(mu-only),0.0566,0.0280674260556434,0.0760957246571659,0.037735178886318,0.8,0.9828616354778408,2.629247975349428,6.049316048502922,0.7438,,,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,HardBisection,0.057,0.028367180844936,0.076633503630008,0.0381381834430439,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.7438,,,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,"PenaltyGrid, λ*=0.750",0.0568,0.0280982404900128,0.0763646141435869,0.0377766072734778,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.7438,0.75,grid,0.9046,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,"PenaltyBisect, λ=0.721",0.0566,0.0280910165410373,0.0760957246571659,0.0377668950538281,0.9,0.7524600603461266,1.8290969014167784,5.974734331798554,0.7438,0.720977783203125,bisect,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,OracleGate,0.0568,0.0281391037092923,0.0763646141435869,0.0378315457237056,0.9002,0.9468651927903294,2.616884291172028,6.0400200010538105,0.7438,,,,0.0,499.0,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.9,QuotaGateV6,0.0566,0.0280760107339351,0.0760957246571659,0.0377467205350028,0.9006,0.9400579539254308,2.5909743547439583,6.035571497511864,0.7438,,,,,,2.0,0.0,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,Baseline(mu-only),0.0566,0.0280674260556434,0.0760957246571659,0.037735178886318,0.8,0.9828616354778408,2.629247975349428,6.049316048502922,0.7438,,,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,HardBisection,0.057,0.028367180844936,0.076633503630008,0.0381381834430439,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.7438,,,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,"PenaltyGrid, λ*=1.500",0.0554,0.027188719350302,0.0744823877386394,0.0365538039127481,0.9612,0.6084310052096844,1.3728629589080814,5.818502468323707,0.7438,1.5,grid,0.9612,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,"PenaltyBisect, λ=1.349",0.056,0.0275351178679664,0.0752890561979026,0.037019518510307,0.95,0.632645277261734,1.4537816524505622,5.8529876651406285,0.7438,1.3492584228515625,bisect,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,OracleGate,0.057,0.0283843454072501,0.076633503630008,0.0381612602947703,0.95,0.8984108949974179,1.484183275699715,6.014572212958336,0.7438,,,,0.0,250.0,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.95,QuotaGateV6,0.057,0.0283843454072501,0.076633503630008,0.0381612602947703,0.95,0.8946652646139264,1.4712813317776252,6.010771282076836,0.7438,,,,,,0.0,0.0,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,Baseline(mu-only),0.0566,0.0280674260556434,0.0760957246571659,0.037735178886318,0.8,0.9828616354778408,2.629247975349428,6.049316048502922,0.7438,,,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,HardBisection,0.057,0.028367180844936,0.076633503630008,0.0381381834430439,1.0,0.7916169525936246,1.4269971966743469,5.928745222592354,0.7438,,,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,"PenaltyGrid, λ*=2.000",0.0538,0.0266731959166583,0.0723312718472707,0.0358607097561957,0.981,0.5440465254530311,1.1844097614288331,5.706442199909687,0.7438,2.0,grid,0.981,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,"PenaltyBisect, λ=1.947",0.0542,0.0267991660920948,0.0728690508201129,0.0360300700350831,0.98,0.5501354988917708,1.2022414326667783,5.718457228100299,0.7438,1.9474029541015625,bisect,,,,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,OracleGate,0.0568,0.0283069748458032,0.0763646141435869,0.0380572396421124,0.98,0.8503281192615628,1.4365588903427124,5.980195629239082,0.7438,,,,0.0,100.0,,,,,,,,,
Amazon-VideoGames,5000,17286,1.4568411111831665,0.8,0.98,QuotaGateV6,0.057,0.028367180844936,0.076633503630008,0.0381381834430439,0.98,0.8488746352508664,1.4366200268268583,5.978790650200843,0.7438,,,,,,0.0,5.0,,,,,,,
