dataset,method,highrisk_cohort,served_risk,hit,bad_exposure
Amazon-VideoGames,Penalty,0.0,0.9633336067199707,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.4653172492980957,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.7311755418777466,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.946393609046936,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8985401391983032,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.580209493637085,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.1196401119232178,1.0,0.0
Amazon-VideoGames,Penalty,1.0,0.9232372045516968,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.3533220291137695,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.710564136505127,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7894182801246643,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9657203555107117,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7107605338096619,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.8018423318862915,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.799540400505066,0.0,1.0
Amazon-VideoGames,Penalty,0.0,1.0831983089447021,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.621860921382904,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5679054856300354,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8294202089309692,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.0311005115509033,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.9696322679519653,0.0,1.0
Amazon-VideoGames,Penalty,0.0,1.0782277584075928,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6167502999305725,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7023968696594238,0.0,0.0
Amazon-VideoGames,Penalty,1.0,3.0611538887023926,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.6080925464630127,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.03244149684906,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.6209453344345093,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.5711646676063538,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.3110368251800537,0.0,1.0
Amazon-VideoGames,Penalty,0.0,1.301263689994812,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9028552174568176,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9410092234611511,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.1123952865600586,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7072827219963074,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8856673240661621,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6442010402679443,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.2429777383804321,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7754845023155212,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5493433475494385,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6176893711090088,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.030139446258545,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.5610599517822266,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.5570428967475891,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6628646850585938,1.0,0.0
Amazon-VideoGames,Penalty,0.0,0.566736102104187,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6120284795761108,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7380130887031555,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6324536800384521,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7453619241714478,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8283880949020386,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.1128946542739868,1.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8083333373069763,1.0,0.0
Amazon-VideoGames,Penalty,0.0,0.25023648142814636,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6260018348693848,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.38601434230804443,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5679397583007812,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.8105295896530151,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.924488365650177,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.2612329423427582,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.23734034597873688,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.3698487281799316,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.1428017616271973,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.328714370727539,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7982736229896545,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.0676442384719849,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.1289823055267334,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.343419075012207,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.179831862449646,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.824252128601074,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.5495314598083496,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.7972553372383118,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7271736860275269,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9070755839347839,0.0,0.0
Amazon-VideoGames,Penalty,1.0,0.9585399627685547,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9934400320053101,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8160268664360046,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.4279630184173584,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5064699649810791,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.318768858909607,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.474678635597229,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.556954026222229,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.7738484144210815,0.0,1.0
Amazon-VideoGames,Penalty,1.0,0.7514753341674805,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9815607070922852,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9901559352874756,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.306600570678711,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.455982208251953,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.309448003768921,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.435262680053711,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.0763084888458252,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9431563019752502,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.310774326324463,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5006819367408752,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.6432104110717773,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.8790820837020874,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9211602807044983,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.219024658203125,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6943064332008362,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8508436679840088,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.5016043186187744,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.9422826170921326,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7605724930763245,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8248129487037659,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.2837928533554077,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6054078936576843,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6836652159690857,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.5289554595947266,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.5610271692276001,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7194048166275024,0.0,0.0
Amazon-VideoGames,Penalty,1.0,0.6382139921188354,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5269230604171753,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5968465209007263,1.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7279475331306458,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6821199655532837,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5857637524604797,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.6748794317245483,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.3739291727542877,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8297048211097717,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.33687272667884827,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.1359769105911255,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.42903852462768555,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8686989545822144,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.4138907492160797,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9702917337417603,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8307079672813416,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6458494663238525,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6842512488365173,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.296814203262329,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.040269136428833,1.0,0.0
Amazon-VideoGames,Penalty,1.0,1.3665504455566406,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6424158215522766,1.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8335692882537842,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.815593957901001,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.273868203163147,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.4251765012741089,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.40125709772109985,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.2927247285842896,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.141121506690979,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6291849613189697,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.967302680015564,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.5685088634490967,0.0,1.0
Amazon-VideoGames,Penalty,0.0,1.1383939981460571,1.0,0.0
Amazon-VideoGames,Penalty,0.0,0.716498076915741,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.756279945373535,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.7556151747703552,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.191861867904663,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.1267746686935425,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.1762816905975342,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.1407638788223267,1.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6954503655433655,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6458495259284973,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7701085209846497,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.261476993560791,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5987003445625305,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.8214321136474609,1.0,0.0
Amazon-VideoGames,Penalty,1.0,1.922837734222412,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.8534792065620422,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.0735582113265991,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9643412232398987,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6849870681762695,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.2313798666000366,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.0413684844970703,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.0947552919387817,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.2580713033676147,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.1920973062515259,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.07715904712677,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9282100796699524,1.0,0.0
Amazon-VideoGames,Penalty,1.0,1.4128084182739258,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7185440063476562,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9628450274467468,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.0219366550445557,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.1233153343200684,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.48164162039756775,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.1383206844329834,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.8964272737503052,1.0,0.0
Amazon-VideoGames,Penalty,0.0,0.32672321796417236,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.1241029500961304,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6824421882629395,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9905465245246887,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.3124226331710815,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.46196770668029785,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.0432510375976562,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.1539111137390137,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.4856956005096436,0.0,1.0
Amazon-VideoGames,Penalty,0.0,1.1501606702804565,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.4868581295013428,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.862349510192871,0.0,1.0
Amazon-VideoGames,Penalty,0.0,1.1707983016967773,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7149184942245483,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5191379189491272,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.6581514477729797,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5977454781532288,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.0283639430999756,0.0,1.0
Amazon-VideoGames,Penalty,1.0,2.2786378860473633,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.6451178789138794,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.248745083808899,0.0,0.0
Amazon-VideoGames,Penalty,1.0,2.1045117378234863,0.0,1.0
Amazon-VideoGames,Penalty,0.0,0.7468141913414001,0.0,0.0
Amazon-VideoGames,Penalty,0.0,1.2288519144058228,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7525186538696289,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.5542945861816406,0.0,0.0
Amazon-VideoGames,Penalty,1.0,1.880710244178772,0.0,1.0
Amazon-VideoGames,Penalty,1.0,1.174437403678894,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.9201114177703857,0.0,0.0
Amazon-VideoGames,Penalty,0.0,0.7656095027923584,0.0,0.0
