dataset,method,tau,k,width_scale,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean,compliance_mean_std,hit_mean_std,recall_mean_std,ndcg_mean_std,bad_exposure_rate_std,weighted_bad_exposure_mean_std,risk_weighted_miss_mean_std,proxy_utility_mean_std,reward_gap_to_oracle_mean_std
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,0.9006000000000001,0.0566,0.0566,0.028071484846224532,0.09836,0.13638140517234804,0.9054665089732408,6.034409249930382,0.0,0.0,0.0,0.0,9.286925630122722e-06,8.207826816681442e-05,0.00020429982817375553,0.0002099006321955378,0.0002048739320186485,0.0
Amazon-VideoGames,QuotaGate-U,0.9,10,1.2,0.9022399999999999,0.05700000000000001,0.05700000000000001,0.02836486487130436,0.09656,0.13396393162727355,0.8662240501433611,6.01128615090847,0.0,8.944271909998484e-05,0.0,0.0,0.0,8.944271909999693e-05,0.00016658820173161257,0.00017077715664365938,0.0002454724510308263,0.0
Amazon-VideoGames,QuotaGate-U,0.9,20,1.0,0.9016399999999999,0.0842,0.0842,0.034976764257547165,0.09636,0.235251648311615,1.7335009570735693,10.877346568527221,0.0,8.944271910003915e-05,0.0,0.0,0.0,8.944271909999337e-05,0.0004001206791308676,0.0003873820082335337,0.0003886734098370618,0.0
Amazon-VideoGames,QuotaGate-U,0.95,10,1.0,0.95,0.05700000000000001,0.05700000000000001,0.028384345407250162,0.0498,0.0973681126832962,0.8610647421365977,6.0101397134542465,0.0,0.0,0.0,0.0,0.0,0.0,0.00015469549175933946,0.0001632577927812036,0.00010499717502734427,0.0
Amazon-VideoGames,WBEThreshold,0.8,10,1.0,0.8251200000000001,0.0568,0.0568,0.0281288127122165,0.17207999999999998,0.15981453847408295,0.9354693899947405,6.045800408835411,0.0007694604682921379,0.00017888543820001235,0.0,0.0,0.0,0.0001788854381999788,0.00012893836109439198,0.0001591662787732999,0.0002682162020945488,2.90058779582227e-05
Amazon-VideoGames,WBEThreshold,0.9,5,1.0,0.9002000000000001,0.0314,0.0314,0.019905342392235844,0.0976,0.013156623375415802,0.40222224226117137,3.207877674070597,0.05957993288040164,0.0,0.0,0.0,0.0,0.0,0.00010278750829493173,0.00010148335986761133,9.701549878107936e-05,4.043852311539938e-05
Amazon-VideoGames,WBEThreshold,0.9,10,0.8,0.80144,0.0566,0.0566,0.028073555179668704,0.19476,0.10901108730793,0.8868487059599162,6.014197264428139,0.031898826007843085,8.944271909998484e-05,0.0,0.0,0.0,8.944271910000707e-05,0.0004014006984138486,0.00040337968791114915,0.00028522247593466344,0.0002085952087059102
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,0.9002000000000001,0.05639999999999999,0.05639999999999999,0.02803887088346388,0.0968,0.026840903468132015,0.795420817683339,5.945776556563377,0.08863269336700448,0.0,0.0,0.0,0.0,0.0,0.00018519143172370209,0.0001884173360419414,0.00019420027067033936,3.06778831390736e-05
Amazon-VideoGames,WBEThreshold,0.9,10,1.2,0.90228,0.05700000000000001,0.05700000000000001,0.02836486487130436,0.09652000000000001,0.13389268840312957,0.8661502768498659,6.011328384089469,-4.2233180999851073e-05,0.00010954451150101862,0.0,0.0,0.0,0.00010954451150103572,0.00018236136856683436,0.0001862731599478162,0.00025130196838304904,1.8570920552340735e-05
Amazon-VideoGames,WBEThreshold,0.9,20,1.0,0.9004,0.0838,0.0838,0.03488036327795741,0.0968,0.09594742470741272,1.5956175120395422,10.788543269367219,0.08880329916000385,0.0,0.0,0.0,0.0,0.0,0.00020172091270318648,0.00020114007653274717,0.0002264254607872904,0.0002072138419959055
