dataset,method,tau,k,width_scale,ms_per_user,sec_total,ms_per_user_std,sec_total_std
ML-1M,Penalty,0.8,10,1.0,0.0490117663179633,0.29578600972890856,0.002522984194833368,0.015226209615819374
ML-1M,Penalty,0.9,5,1.0,0.047707669606683864,0.2879157860763371,0.0012605780731153402,0.007607588671251077
ML-1M,Penalty,0.9,10,0.8,0.048735116677113374,0.29411642914637925,0.001393936986064392,0.008412409710898619
ML-1M,Penalty,0.9,10,1.0,0.05014992260019964,0.3026547828922048,0.0027888834004980725,0.01683091132200585
ML-1M,Penalty,0.9,10,1.2,0.04936612741257794,0.2979245789349079,0.003306812161143763,0.01995661139250261
ML-1M,Penalty,0.9,20,1.0,0.05181848263644244,0.3127245427109301,0.0020564946185055747,0.012410945022681159
ML-1M,Penalty,0.95,10,1.0,0.04785309381344739,0.288793421164155,0.0015926413301015773,0.009611590427163029
ML-1M,Primal-Dual,0.8,10,1.0,0.1744238123476703,1.0526477075181901,0.004679155863126248,0.02823870563396688
ML-1M,Primal-Dual,0.9,5,1.0,0.1995691387314587,1.2043997522443532,0.00568693906591822,0.03432067726281638
ML-1M,Primal-Dual,0.9,10,0.8,0.1009407651077496,0.6091775174252689,0.0011178806269695704,0.00674640958376137
ML-1M,Primal-Dual,0.9,10,1.0,0.17503480345949024,1.0563350388780237,0.0052126000598730765,0.03145804136133398
ML-1M,Primal-Dual,0.9,10,1.2,0.24720635913256878,1.4918903773650527,0.008484033520139055,0.051201142294039166
ML-1M,Primal-Dual,0.9,20,1.0,0.14662759267441872,0.884897521790117,0.0035912162891777654,0.021672990305187836
ML-1M,Primal-Dual,0.95,10,1.0,0.17294865396327486,1.0437451266683637,0.0009097806016979323,0.00549052593124699
ML-1M,QuotaGate-RDU,0.8,10,1.0,0.20713971441653314,1.2500881765037775,0.004203993120591014,0.02537109848276669
ML-1M,QuotaGate-RDU,0.9,5,1.0,0.24351454391618751,1.4696102725341915,0.0054393968887083265,0.03282676022335484
ML-1M,QuotaGate-RDU,0.9,10,0.8,0.11395477732240708,0.6877170811407268,0.002279604455811131,0.013757412890820183
ML-1M,QuotaGate-RDU,0.9,10,1.0,0.20835347606336763,1.2574132280424237,0.004176328873267713,0.025204144750170635
ML-1M,QuotaGate-RDU,0.9,10,1.2,0.3109040562689996,1.8763059795834125,0.0036768995744967006,0.02219008893208757
ML-1M,QuotaGate-RDU,0.9,20,1.0,0.17377490129911316,1.048731529340148,0.0036515867188890265,0.022037325848495288
ML-1M,QuotaGate-RDU,0.95,10,1.0,0.20607546718780326,1.2436654444783926,0.0035385191865445493,0.021354963290796336
ML-1M,QuotaGate-U,0.8,10,1.0,0.20506939070658836,1.2375937729142605,0.0033260251095436565,0.020072561536096024
ML-1M,QuotaGate-U,0.9,5,1.0,0.2438504266295684,1.4716373247094452,0.007130678824192353,0.04303364670400086
ML-1M,QuotaGate-U,0.9,10,0.8,0.11490516616116404,0.693452677782625,0.0013611841049727378,0.00821474607351048
ML-1M,QuotaGate-U,0.9,10,1.0,0.20831148383958387,1.2571598049718886,0.006155678176280029,0.03714951779385003
ML-1M,QuotaGate-U,0.9,10,1.2,0.30859336204512017,1.8623609399423002,0.006982729412589359,0.042140772004976706
ML-1M,QuotaGate-U,0.9,20,1.0,0.17065116510647035,1.0298797814175487,0.002011664187971029,0.01214039337440511
ML-1M,QuotaGate-U,0.95,10,1.0,0.20595367750972385,1.2429304437711834,0.004814748036616528,0.029057004400980736
ML-1M,WBEThreshold,0.8,10,1.0,0.20520572529761577,1.238416552171111,0.004943372585417117,0.029833253552992312
ML-1M,WBEThreshold,0.9,5,1.0,0.239628008717259,1.446155032608658,0.005800918700245995,0.035008544355984605
ML-1M,WBEThreshold,0.9,10,0.8,0.11495332266786618,0.6937433023005724,0.002096405160811619,0.012651805145498093
