dataset,method,tau,k,width_scale,seed,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean
ML-1M,QuotaGate-U,0.9,10,1.0,2027,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09743164871582435,0.09990345525860095,1.4953338259777058,10.5407225908281,0.0
ML-1M,QuotaGate-RDU,0.9,10,1.0,2027,0.9000828500414251,0.07108533554266777,0.07108533554266777,0.03457363331633832,0.0975973487986744,0.022747918155041243,1.4145537843352127,10.504616539993854,0.03610605083424545
ML-1M,WBEThreshold,0.9,10,1.0,2027,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.021668106219742855,1.4153063786145865,10.504477239227928,0.03624535160017217
ML-1M,Penalty,0.9,10,1.0,2027,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.05979136165154307,1.3354794396197094,10.520455032512977,0.020267558315122614
ML-1M,AdaptivePenalty,0.9,10,1.0,2027,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.038399790848398396
ML-1M,Primal-Dual,0.9,10,1.0,2027,0.899751449875725,0.07141673570836786,0.07141673570836786,0.034585581502488166,0.09809444904722453,0.09987705699253795,1.495546075480727,10.540709040909634,1.3549918465471933e-05
ML-1M,QuotaGate-U,0.9,10,1.0,2028,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09743164871582435,0.10001726404141077,1.495513453972221,10.540732743864526,0.0
ML-1M,QuotaGate-RDU,0.9,10,1.0,2028,0.9000828500414251,0.07108533554266777,0.07108533554266777,0.03457363331633832,0.0975973487986744,0.022864248722964522,1.4147224991785265,10.504613564403568,0.03611917946095744
ML-1M,WBEThreshold,0.9,10,1.0,2028,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.0217972440332446,1.4154544005227563,10.504481485804547,0.03625125805997875
ML-1M,Penalty,0.9,10,1.0,2028,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.05979136165154307,1.3354794396197094,10.520455032512977,0.020277711351548433
